indikerer	indicates
indonesien	indonesia
inge	inge
express	express
danse	dance
danse	dancing
landevej	highway
landevej	road
kernen	core
kernen	kernel
toronto	toronto
kaukasus	caucasus
bekræftede	confirmed
mot	mot
kat	kat
kat	cat
frivilligt	voluntary
frivilligt	voluntarily
frivilligt	optional
frivilligt	volunteer
estiske	estonian
bestyrelsesformand	chairman
designer	designer
designer	designing
server	server
forårsaget	caused
ladet	loaded
grundlov	constitution
aktier	shares
anslået	estimate
anslået	estimated
topscorer	valedictorian
opret	create
tomme	inch
tomme	empty
afspejler	reflect
afspejler	reflecting
afspejler	reflects
ministre	ministers
flertallet	majority
benzin	petrol
benzin	gas
benzin	gasoline
bülow	bülow
opfordrede	urged
forretning	shop
forretning	business
marseille	marseille
marseille	marseilles
opposition	opposition
uci	uci
besejre	defeating
besejre	defeat
flyvning	flying
flyvning	flight
knuth	knuth
understøttelse	support
indgangen	entrance
oplevet	experienced
urban	urban
traktat	treaty
isoleret	insulated
isoleret	isolated
respektive	respective
restaurering	restoration
grønt	green
effekter	effects
ltd	ltd
ken	ken
arealer	areas
dallas	dallas
krigsskibe	warships
ærø	ærø
salget	sales
infrastruktur	infrastructure
infrastruktur	infrastructures
hjemmesiden	website
forsvarer	defender
forsvarer	defend
forsvarer	defending
genvalgt	reelected
protestantiske	protestant
lovede	promised
protester	protest
protester	protests
muhammed	muhammad
muhammed	mohammed
muhammed	muhammed
marco	marco
fastlagt	defined
fastlagt	determined
irish	irish
skadet	injured
skadet	damaged
skadet	hurt
watson	watson
vig	vig
kvarteret	neighborhood
hjul	wheel
hjul	wheels
sørge	grieve
sørge	mourn
toyota	toyota
dialekter	dialects
struer	struer
elleve	eleven
montenegro	montenegro
udtale	pronunciation
udtale	pronounce
høst	harvest
høst	harvesting
budapest	budapest
campbell	campbell
ivrig	anxious
ivrig	eager
ivrig	avid
ivrig	keen
nigeria	nigeria
udpræget	pronounced
armstrong	armstrong
samtgemeinde	samtgemeinde
nul	zero
nul	nil
islamisk	islamic
etiopien	ethiopia
efterfølgeren	successor
mitchell	mitchell
behandlingen	treatment
tilføjede	added
vrede	anger
vrede	angry
vrede	wrath
vrede	rage
medaljen	medal
carter	carter
værdifulde	valuable
udbruddet	outbreak
bmw	bmw
akademiske	academic
forstærket	strengthened
forstærket	amplified
forstærket	augmented
forstærket	enhanced
forstærket	reinforced
køber	buy
køber	buyer
køber	buying
beskrivelser	descriptions
letlands	latvia
letlands	latvian
nova	nova
row	row
tilstedeværelse	attendance
tilstedeværelse	presence
ballerup	ballerup
inviteret	invited
voksen	grown
voksen	adult
abu	abu
dean	dean
mind	mind
cape	cape
tempel	temple
ordrer	orders
frederikssund	frederikssund
soundtrack	soundtrack
hovedkontor	headquarters
camilla	camilla
farlige	dangerous
farlige	hazardous
magiske	magic
magiske	magical
karin	karin
granit	granite
boldspil	ballgame
forenet	unified
forenet	united
møn	møn
velhavende	affluent
velhavende	wealthy
delta	delta
sen	late
sen	sen
streng	strict
streng	string
tunnel	tunnel
opfyldt	fulfilled
opfyldt	met
rolf	ralph
rolf	rolf
val	val
tina	tina
ulla	ulla
ronald	ronald
nøgle	key
genudgivet	republished
kopier	copy
kopier	copies
vegas	vegas
tillid	confidence
tillid	trust
winther	winther
bundesliga	bundesliga
elo	elo
johansson	johansson
studeret	studied
fylder	filling
fylder	fills
fortolkning	interpretation
nintendo	nintendo
søstre	sisters
svampe	mushrooms
svampe	mushroom
svampe	fungi
svampe	sponges
vancouver	vancouver
benz	benz
points	points
anholdt	arrested
brændstof	fuel
brændstof	fuels
sandheden	truth
speciale	speciale
speciale	specialty
midte	midst
løsninger	solutions
effektive	efficient
effektive	effective
flyvende	flying
forbrydelser	crimes
forbrydelser	crime
undervisningen	teaching
opvækst	upbringing
normer	norms
normer	standards
dateret	dated
ukrainske	ukrainian
heiberg	heiberg
forbedringer	improvements
forbedringer	improvement
sind	mind
sind	minds
brune	brown
falske	counterfeit
falske	false
falske	fakes
falske	fake
båret	worn
båret	borne
etaper	phases
etaper	stages
industrien	industry
rør	touch
rør	pipe
rør	tube
rør	tubes
rør	pipes
valuta	currency
udskilt	excreted
nomineringer	nominations
dialog	dialogue
dialog	dialog
kapital	capital
orleans	orleans
sean	sean
annonceret	announced
annonceret	advertised
cruz	cruz
dokumentation	documentation
hal	hai
hal	hal
hal	hall
thy	thy
krateret	crater
dømte	convicted
dømte	sentenced
dømte	condemned
årgang	vintage
thorvald	thorvald
opfylder	meets
opfylder	fulfils
phoenix	phoenix
besøger	visiting
etnisk	ethnically
etnisk	ethnic
skjulte	hidden
skjulte	hid
hat	hat
kassel	kassel
historia	historia
randy	randy
reklamer	advertisements
reklamer	advertising
reklamer	ads
forbedrede	improved
jessen	jessen
aaron	aaron
clemens	clemens
flyder	floating
flyder	float
flyder	flows
flyder	flowing
mekanisk	mechanically
mekanisk	mechanical
miami	miami
forvaltning	management
forvaltning	administration
forvaltning	governance
aus	aus
curling	curling
involverede	involved
venter	waiting
venter	expecting
fogh	fogh
tegne	subscribe
tegne	draw
tegne	drawing
selvbiografi	autobiography
kontorer	offices
besøge	visit
introduktion	introduction
introduktion	introducing
introduktion	intro
forstærkninger	reinforcements
forstærkninger	reinforcement
cello	cello
territorier	territories
svag	weak
løve	lion
sejler	sailing
indtage	ingest
roma	roma
hebraisk	hebrew
sikrer	ensures
operationen	operation
aftaler	deals
aftaler	contracts
aftaler	appointments
aftaler	agreements
ehf	ehf
spænding	excitement
spænding	tension
spænding	suspense
spænding	voltage
kontrakten	contract
løsladt	released
lloyd	lloyd
planlægning	scheduling
planlægning	planning
planlægning	programming
ubåde	submarines
ubåde	subs
made	made
fløjte	whistle
fløjte	flute
racen	breed
romantiske	romantic
delstater	länder
delstater	lander
tykke	chubby
tykke	thick
tykke	fatty
ball	ball
tel	tel
forekommende	occurring
sammenlægning	merger
sammenlægning	aggregation
zoo	zoo
kenya	kenya
tjekkisk	czech
mogensen	mogensen
opbakning	backing
indsigt	insight
blåt	blue
jennifer	jennifer
glemt	forgot
glemt	forgotten
scottish	scottish
meddelelser	notices
meddelelser	notifications
meddelelser	messages
meddelelser	communications
kings	kings
larry	larry
tynde	skinny
tynde	thin
luke	luke
måne	moon
krydsede	crossed
regn	rain
nedbør	rainfall
nedbør	precipitation
bibliografi	bibliography
kræft	cancer
strækninger	stretches
strækninger	lines
strækninger	sections
malta	malta
holck	holck
dynasti	dynasty
glasgow	glasgow
secret	secret
kulturel	cultural
dagbog	journal
dagbog	diary
nevø	nephew
journalister	journalists
journalister	reporters
mikhail	mikhail
etage	floor
poesi	poetry
sektion	section
stan	stan
mil	mile
mil	miles
mil	mil
installeret	installed
udkanten	outskirts
varmt	hot
varmt	warm
passere	pass
bernstorff	bernstorff
ideologi	ideology
wrestlemania	wrestlemania
colorado	colorado
udvalget	committee
byområde	conurbation
byområde	agglomeration
fungerende	functioning
væske	fluid
væske	liquid
konklusion	conclusion
mursten	bricks
mursten	brick
forfatningen	constitution
monica	monica
udkommet	published
spørger	asking
spørger	asks
lejr	camp
inkluderede	included
stødte	bumped
stødte	encountered
sum	sum
manageryears	manageryears
unikke	unique
banks	banks
tove	ropes
tove	tove
jupiter	jupiter
xbox	xbox
skygge	shadows
skygge	shading
skygge	shadow
skygge	shade
passage	crossing
passage	passage
videoen	video
torv	square
anhalt	anhalt
betty	betty
levet	lived
afslører	reveals
afslører	reveal
eksperimenter	experiments
eksperimenter	experiment
eksperimenter	experimentation
måler	measuring
måler	meter
atlantic	atlantic
helena	helena
helena	helen
daf	daf
dick	dick
spiser	eating
spiser	eat
spiser	eats
skift	shift
skift	switch
skift	change
skift	shifts
helene	helene
ordning	scheme
ordning	arrangements
ordning	system
ordning	arrangement
klint	klint
klint	cliff
spin	spin
boris	boris
udvides	expands
bnp	gdp
bnp	gnp
døre	doors
output	output
output	outputs
båden	boat
düsseldorf	düsseldorf
düsseldorf	dusseldorf
highway	highway
montreal	montreal
overskud	profit
overskud	surpluses
overskud	surplus
overskud	profits
krydse	crossing
krydse	cross
sehested	sehested
organisk	organic
ris	rice
ris	ris
julian	julian
biologisk	biological
biologisk	biologically
barnebarn	granddaughter
barnebarn	grandchild
barnebarn	grandson
henderson	henderson
paulo	paulo
nyligt	recently
nyligt	recent
mexicanske	mexican
skarpt	sharp
skarpt	sharply
forstæder	suburbs
forstæder	suburban
forstæder	outskirts
fdf	fdf
færgen	ferry
begravelse	burial
begravelse	funeral
nederlaget	defeat
bestemmer	decides
bestemmer	determines
forandring	change
følelse	emotion
følelse	feeling
rygter	rumour
rygter	rumors
rygter	rumor
rygter	rumours
indflydelsesrige	influential
stiftelse	foundation
stiftelse	formation
singer	singer
separate	separate
lego	lego
manhattan	manhattan
strukturer	structures
ottende	eighth
nysted	nysted
css	css
level	level
ivar	ivar
indbygget	embedded
indbygget	built
indbygget	incorporated
diana	diana
enorm	enormous
enorm	immense
cornelius	cornelius
guderne	gods
teologisk	theological
billedtekst	caption
giro	giro
tilbagetrækning	withdrawals
tilbagetrækning	withdraw
tilbagetrækning	withdrawal
algeriet	algeria
mus	mice
mus	mouse
virkelighed	realities
virkelighed	reality
über	über
grundloven	constitution
cleveland	cleveland
elseif	elseif
kemiker	chemist
jer	jer
saa	saa
beretninger	reports
planerne	plans
juventus	juventus
gravsted	grave
ingrid	ingrid
vanskelig	difficult
holmes	holmes
anbefalede	recommended
skyldig	guilty
teknikker	techniques
marker	fields
marker	parcels
marker	mark
baseball	baseball
fabrikant	manufacturer
boldklubben	boldklubben
ted	ted
tree	tree
tree	tre
reducere	reduce
porto	postage
porto	porto
porto	oporto
enkel	simple
balkan	balkans
balkan	balkan
tilbagevendende	recurrent
tilbagevendende	recurring
tilbagevendende	returnees
svaret	answer
edgar	edgar
angels	angels
dæk	tyres
dæk	tire
dæk	deck
dæk	cover
dæk	tires
dæk	tyre
nhl	nhl
metropolitan	metropolitan
drømme	dream
drømme	dreams
drømme	dreaming
kanten	edge
neil	neil
discipliner	disciplines
duo	duo
hjulpet	helped
hjulpet	aided
opdeling	breakdown
opdeling	division
kansler	chancellor
kaffe	coffee
registrerede	registered
godser	estates
eyes	eyes
gulvet	floor
markeder	markets
estisk	estonian
maryland	maryland
bemærkelsesværdige	notable
bemærkelsesværdige	remarkable
bemærkelsesværdige	noteworthy
buenos	buenos
skulpturer	sculpture
skulpturer	sculptures
brande	fire
brande	fires
control	control
eduard	eduard
partikler	particles
partikler	particulates
partikler	particulate
oklahoma	oklahoma
faktum	fact
sjæl	soul
svare	respond
grafisk	graphical
grafisk	graphic
grafisk	graphically
grafisk	graphics
flot	nice
flot	handsome
kritiserede	criticized
kritiserede	criticised
bella	bella
sierra	sierra
frigivet	released
nazistiske	nazi
menighed	congregation
aktion	action
tung	heavy
tung	tung
opfylde	satisfy
opfylde	fulfill
trænet	coached
trænet	trained
byzantinske	byzantine
forventet	expected
harrison	harrison
gaza	gaza
grey	grey
pyrénées	pyrénées
aires	aires
måner	moons
raf	raf
sigt	aim
kirk	kirk
lodret	vertically
lodret	vertical
essays	essays
racing	racing
indslag	segment
jamie	jamie
kontrollerede	controlled
autoritet	authority
måneden	month
hunter	hunter
elskede	loved
elskede	beloved
dramatiske	dramatic
farlig	dangerous
farlig	hazardous
plantage	plantation
kontroversielle	controversial
antagelig	presumably
kvæg	bovine
kvæg	cattle
catherine	catherine
limfjorden	limfjord
revolutionære	revolutionary
revolutionære	revolutionaries
bedt	prayed
redigering	editing
redigering	editor
woman	woman
vibeke	vibeke
philippe	philippe
diskuteret	discussed
fugl	bird
danneskiold	danneskiold
udenlandsk	foreign
them	them
heaven	heaven
istanbul	istanbul
celle	cell
download	download
anliggender	affairs
vidnesbyrd	testimony
vidnesbyrd	testimonies
husum	husum
sammenstød	clashes
sammenstød	collision
sammenstød	clash
sammenstød	collisions
montgomery	montgomery
gearkasse	transmission
gearkasse	gearbox
inter	inter
edmund	edmund
moses	moses
jagerfly	fighters
pacific	pacific
borger	citizen
forhindrede	prevented
pommern	pomerania
engel	angel
erich	erich
myter	myths
myter	myth
frivillig	optional
frivillig	voluntary
frivillig	volunteer
frost	frost
egon	egon
sting	stitch
sting	sting
sting	stitches
fusionerede	merged
asiatiske	asian
antikken	antiquity
sweet	sweet
ler	clays
ler	laughs
ler	clay
fotografi	photograph
fotografi	photography
jagten	hunt
jagten	hunting
coupé	coupe
bevidsthed	consciousness
bevidsthed	awareness
bevidsthed	conscious
retssag	trial
sproglige	linguistic
kurser	courses
udkæmpet	fought
undtagelser	exceptions
undtagelser	exemptions
houston	houston
spændende	interesting
spændende	intriguing
spændende	exciting
spændende	thrilling
bombe	bomb
bombe	bombing
anmodning	request
langeland	langeland
hænderne	hands
tank	tank
flandern	flanders
borussia	borussia
cbs	cbs
fremstiller	produce
fremstiller	manufactures
fremstiller	manufacturer
toner	tones
toner	toner
antaget	assumed
kaserne	barracks
behandle	treat
cecilie	cecilie
patent	patent
patent	patents
owen	owen
rafael	raphael
rafael	rafael
filippinerne	philippines
kæden	chain
konvention	convention
skatter	taxes
ravn	raven
usædvanlig	unusual
alabama	alabama
væbnede	armed
undersøgt	studied
undersøgt	examined
undersøgt	investigated
organiske	organic
newton	newton
dybere	deeper
michelle	michelle
signatur	signature
sammenlignes	compares
olga	olga
romantisk	romantic
blind	blind
sevilla	sevilla
sevilla	seville
kavaleri	cavalry
mel	flour
mel	mel
ronnie	ronnie
opvarmning	heating
opvarmning	warming
header	header
køb	purchase
køb	buy
køb	purchases
køb	buying
walker	walker
statistisk	statistical
afslørede	revealed
trio	trio
sporten	sport
ruth	ruth
domstol	court
leverer	delivering
leverer	provides
leverer	delivers
grænserne	borders
grænserne	frontiers
separat	separately
separat	separate
wikidata	wikidata
komponenter	components
stein	stein
skulptur	sculpture
pearl	pearl
ordfører	rapporteur
trykte	printed
faciliteter	facilities
varierende	varying
godkendte	approved
permanente	permanent
winston	winston
fisker	fishes
fisker	fisherman
fisker	fishing
dygtige	talented
emmy	emmy
oldenburg	oldenburg
beton	concrete
mandat	mandate
dortmund	dortmund
kæde	chain
bureau	agency
bureau	bureau
police	police
dragon	dragon
göttingen	göttingen
rede	nest
rede	prepared
chopin	chopin
drab	homicide
drab	killings
drab	killing
gad	gad
dale	dale
pedro	pedro
barry	barry
allieret	allied
allieret	ally
judas	judas
humor	humor
humor	humour
lufthavne	airport
lufthavne	airports
small	small
kentucky	kentucky
afløser	replacing
afløser	replacement
fuldmægtig	administrator
nassau	nassau
proteiner	protein
proteiner	proteins
simpson	simpson
leth	leth
suppleret	supplemented
suppleret	complemented
satellitter	satellites
nepal	nepal
koncentreret	concentrated
koncentreret	concentrating
påstand	claim
påstand	allegation
westfalen	westphalia
amy	amy
factor	factor
walk	walk
opdagelsesrejsende	explorer
opdagelsesrejsende	explorers
molekyler	molecules
møbler	furniture
rick	rick
neutrale	neutral
rob	rob
omfattet	included
omfattet	covered
terror	terror
terror	terrorism
kriminelle	criminal
kriminelle	criminals
leftarm	leftarm
cæsar	caesar
forøget	increased
regelmæssige	regular
cypern	cyprus
halve	halves
mitsubishi	mitsubishi
skarpe	sharp
kriminalitet	crimes
kriminalitet	criminality
kriminalitet	crime
undervist	taught
batteri	battery
batteri	batteries
seg	seg
omkostninger	costs
omkostninger	cost
afdelingen	department
mur	wall
motors	motors
samsø	samsø
passede	fit
passede	tended
cia	cia
cia	cla
forberede	preparing
richmond	richmond
lissabon	lisbon
grace	grace
illustrationer	illustrations
skandinavisk	scandinavian
brugerne	users
sct	sct
tjenester	services
tusind	thousand
templet	temple
håbet	hoping
håbet	hope
håbet	hoped
indlagt	hospitalized
indlagt	inlaid
indlagt	hospitalised
indlagt	admitted
reform	reforming
reform	reform
videnskabeligt	scientifically
videnskabeligt	scientific
grenaa	grenaa
missioner	missions
tidsrum	period
psykisk	psychological
psykisk	psychic
psykisk	psychiatric
psykisk	mental
psykisk	mentally
clara	clara
hoteller	hotels
beskadiget	damaged
rudolph	rudolph
pinyin	pinyin
ward	ward
modtagelse	receipt
modtagelse	receiving
modtagelse	reception
stribe	stripe
support	support
sandhed	truth
hævet	raised
hævet	swollen
manuelt	manual
manuelt	manually
inn	inn
inn	inns
præstation	performance
præstation	achievement
atmosfæren	atmosphere
magic	magic
eksistere	exist
eksistere	exists
betragtede	considered
racer	racer
racer	races
racer	breeds
boksning	boxing
