ursachen causes
autonomen autonomous
autonomen autonomic
arbeitsgemeinschaft consortium
befreiung liberation
befreiung waiver
befreiung exemption
befreiung deliverance
zoll inch
zoll duty
zoll inches
zoll customs
hingerichtet executed
zeigten showed
lese read
lese reading
wunder miracles
wunder wonders
wunder miracle
wunder wonder
vorsprung lead
kindergarten kindergarten
kindergarten nursery
juristische juridical
juristische legal
regime régime
regime regime
regime regimes
erkannte recognized
finger finger
finger fingers
sanierung remediation
sanierung refurbishment
sanierung redevelopment
sanierung rehabilitation
sanierung renovation
geheimnis mystery
geheimnis secrets
geheimnis secret
geheimnis secrecy
andy andy
lost lost
stufen stairs
stufen tiers
stufen stages
stufen steps
stufen levels
fellow fellow
java java
gerufen hailed
gerufen shouted
gerufen called
gerufen summoned
ebenen layers
ebenen plains
ebenen tiers
ebenen levels
sätzen sentences
alfons alfons
alfons afonso
alfons alfonso
domain domains
domain domain
versteckt hid
versteckt hidden
versteckt hide
versteckt hides
versteckt hiding
est est
schlüssel keys
schlüssel key
katholiken catholics
katholiken catholic
reichstag reichstag
anbieter supplier
anbieter suppliers
anbieter provider
anbieter vendors
anbieter providers
strafe penalty
strafe doom
strafe torment
strafe punishment
strafe sentence
brust chests
brust chest
brust breast
brust breasts
hinteren posterior
zeilen rows
zeilen lines
eigenständigen standalone
gulden guilders
gulden guilder
erwähnte mentioned
erwähnte mentions
lisa lisa
seitlich sideways
seitlich lateral
seitlich laterally
seitlich side
endrunde finals
angekündigt announced
planet planet
mozart mozart
angewandte applied
vorgang process
einflüsse influences
überlieferung lore
überlieferung tradition
überlieferung folklore
vorsitz presiding
vorsitz chairmanship
vorsitz presidency
erdgeschoss basement
erdgeschoss ground
traum dream
traum dreams
allianz alliance
allianz allianz
pietro pietro
barock baroque
kreisen circles
kreisen circling
pilot pilot
echten real
echten genuine
abgebildet depicted
abgebildet mapped
abgebildet pictured
universal universal
cruz cruz
verstorben died
verstorben deceased
job job
geologie geological
geologie geology
melbourne melbourne
pius pius
kolonien colonies
kolonien colony
lausanne lausanne
klammern clamps
klammern parentheses
klammern staples
klammern braces
klammern brackets
teilt splits
verwandte relative
verwandte relatives
verwandte kin
verwandte related
unterkategorien subcategories
unterkategorien subcategory
québec québec
québec quebec
kampagne campaigns
kampagne campaigning
kampagne campaign
nba nba
beobachtung monitoring
beobachtung observation
urkunden documents
urkunden deeds
hoffentlich hopefully
detail detail
problematisch problematic
sicherung fuse
sicherung backup
sicherung secure
sicherung securing
felsen cliffs
felsen rocks
felsen cliff
felsen rock
lebende living
histoire histoire
arme poor
arme arms
händen hands
höhen treble
höhen highs
höhen altitude
höhen heights
airlines airlines
kalender calendar
kalender calendars
landesamt landesamt
blog blog
malerin painter
unbekannte unknown
anerkannten recognised
wiederwahl reelection
wiederwahl reelected
erfindung fiction
erfindung invention
erfindung invented
erfindung inventions
xii xii
nachlass discount
nachlass inheritance
nachlass rebate
reichweite scope
reichweite range
reichweite reach
hals throat
hals neck
hals necks
maría maría
schlösser castles
schlösser locks
schlösser palaces
jahrhunderten centuries
hauptrollen starring
piano piano
olympia olympia
olympia olympic
bemühungen endeavour
bemühungen effort
bemühungen efforts
bemühungen endeavors
bemühungen endeavours
johan johan
margaret margaret
angewendet applied
wochenende weekends
wochenende weekend
arizona arizona
sprung leap
franklin franklin
bde bde
flüchtlinge refugee
flüchtlinge refugees
flüchtlinge fugitives
koalition coalition
begründen justify
comic comics
comic comic
comic cartoon
skulptur sculpture
interpretiert interprets
interpretiert interpreted
rue rue
sinfonie symphony
vermittlung operator
vermittlung placement
vermittlung intermediation
vermittlung mediation
vermittlung conciliation
informieren inform
handlungen acts
handlungen actions
chinesischer chinese
seminar seminary
seminar seminar
naturpark park
landwirtschaftlich agricultural
landwirtschaftlich agrarian
substanz substance
harris harris
generationen generational
generationen generations
leid sorrow
leid sorry
leid suffering
janeiro janeiro
vancouver vancouver
bestätigte confirmed
bestätigte corroborated
bestätigte acknowledged
ausrüstung equipment
ausrüstung gear
ausrüstung equipments
versorgt supplied
dreharbeiten filming
dreharbeiten shooting
saal chamber
saal courtroom
saal hall
saal auditorium
ronald ronald
negative negative
negative negatives
haltepunkt halt
haltepunkt breakpoint
höchst highly
überlegen superior
überlegen consider
mangel shortages
mangel lack
mangel defect
mangel deficiency
mangel shortage
freiwillig voluntary
freiwillig volunteered
freiwillig optional
freiwillig voluntarily
freiwillig volunteer
minderheit minority
minderheit minorities
berechtigt eligible
berechtigt entitles
berechtigt justified
berechtigt entitled
peters peters
niederländisch dutch
zuständigen competent
beamten officials
klagenfurt klagenfurt
kupfer copper
lincoln lincoln
sandstein sandstone
bedeuten signify
bedeuten imply
field field
marken brands
marken marche
marken brand
marken marches
marken trademarks
studieren studying
überführt convicted
nachts nights
nachts nighttime
nachts night
lasse lasse
annähernd approximate
annähernd approximately
rezension review
fische fishes
fische pisces
fische fish
irgendwas something
irgendwas anything
schiller schiller
vierter fourth
sven sven
auszug snippet
auszug excerpt
auszug extract
fordert urges
fordert calls
branche sector
kleidung apparel
kleidung dress
kleidung attire
kleidung clothing
kleidung clothes
erlaubnis permission
eingeschränkt restricted
eingeschränkt constrained
eingeschränkt limited
unterhält maintains
norman norman
recherche recherche
player player
atmosphäre ambience
atmosphäre atmosphere
atmosphäre ambiance
atmosphäre ambient
siemens siemens
mini mini
ernest ernest
wen whom
wen who
wen wen
bestattet buried
geprüft verified
geprüft audited
geprüft tested
geprüft checked
geprüft reviewed
kreuzer cruisers
kreuzer cruiser
erdbeben seismic
erdbeben earthquake
erdbeben earthquakes
puerto puerto
feier ceremony
feier party
feier celebrations
feier celebrate
feier celebration
schäfer shepherd
schäfer schaefer
schäfer schäfer
schäfer shepherds
rückseite backside
rückseite reverse
rückseite rear
rückseite back
lokomotive locomotive
vermutung presumption
vermutung conjecture
vermutung assumptions
vermutung guess
vermutung supposition
propaganda propaganda
kenntnisse skills
kenntnisse knowledge
spalte column
spalte columns
southern southern
oswald oswald
überlegungen considerations
überlegungen reflections
überlegungen thoughts
zugeteilt assigned
zugeteilt allocated
zugeteilt allotted
report report
geheimen secret
teilung partition
teilung divide
fremde strangers
fremde outsiders
fremde stranger
lkw lorries
lkw truck
lkw lorry
lkw trucks
lkw trucking
registriert registered
abbildungen graphs
abbildungen pictures
abbildungen images
abbildungen figures
abbildungen illustrations
verschwinden vanishing
verschwinden disappearing
verschwinden disappear
verschwinden disappearance
magdalena magdalene
magdalena magdalena
spenden donation
spenden donate
spenden donations
mdr mdr
monarchie monarchy
republikanischen republican
bestätigen verify
bestätigen validate
bestätigen acknowledge
bestätigen confirm
scharf sharp
scharf spicy
vermittelt brokered
vermittelt conveys
vermittelt conveyed
vermittelt mediated
frisch fresh
frisch freshly
frisch frisch
kelly kelly
alabama alabama
dokument document
loire loire
audio audio
kurfürsten elector
kurfürsten electors
kette necklace
kette chains
kette chain
moderner modern
herrenhaus mansion
herrenhaus manor
schicht shift
schicht layer
schicht stratum
justiz justice
justiz judicial
justiz judiciary
alberto alberto
offizieller official
bewaffneten gunmen
bewaffneten armed
mittelmeer atlantic
mittelmeer mediterranean
mmn mmn
faktor factor
ermordung murder
ermordung assassination
connecticut connecticut
persönlichkeit personalities
persönlichkeit personality
etablierte established
kaliningrad kaliningrad
zusatz addition
zusatz addendum
zusatz additive
guido guido
gefangenen prisoner
gefangenen captive
gefangenen prisoners
gefangenen detainees
sank sunk
sank sank
leutnant lieutenant
lateinische latin
xvi xvi
abbau degradation
abbau dismantling
vietnam vietnam
strategie strategies
strategie strategy
uruguay uruguay
einheimischen natives
einheimischen locals
gruyter gruyter
liechtenstein liechtenstein
liechtenstein lichtenstein
holocaust holocaust
siegel seals
siegel siegel
siegel seal
quer across
quer transverse
fragt asks
fragt asked
ausscheiden resignation
hamm gam
hamm hamm
auschwitz auschwitz
zeitgenössische contemporary
planungen planning
planungen plans
neueren newer
beendigung termination
detroit detroit
emma emma
publikation publications
publikation publication
stoff cloth
stoff substance
stoff fabric
fremden strangers
fremden aliens
fremden stranger
ernsthaft serious
ernsthaft seriously
gelben yellow
krankheiten illnesses
krankheiten illness
krankheiten diseases
krankheiten disorders
krankheiten sickness
zentimetern centimeters
zentimetern cm
bukarest bucharest
mans mans
denkmäler memorials
denkmäler monuments
maine maine
rief exclaimed
rief shouted
rief called
rief cried
entlassung discharge
entlassung dismissal
entlassung redundancy
kongo congo
stämme tribes
stämme strains
siebten seventh
musikern musicians
grob crude
grob rough
grob roughly
grob coarse
dialekt dialect
dialekt vernacular
dialekt dialects
philologie philology
hofmann hofmann
südkorea taiwan
südkorea korea
südkorea seoul
beachtung attention
beachtung observance
beachtung heed
technischer technical
grimm grimm
merkmal characteristic
merkmal feature
merkmal trait
anr anr
orthodoxen orthodoxy
orthodoxen orthodox
epoche eras
epoche epoch
engineering engineering
rechnung account
rechnung billing
rechnung invoices
rechnung bill
rechnung invoice
browser browsers
browser browser
verwiesen referenced
verwiesen expelled
verwiesen referred
konsul consul
stab stab
stab rod
draft draft
benannten designated
wertung scoring
wertung rating
vorschriften regulations
vorschriften rules
vorschriften requirements
vorschriften specifications
vorschriften provisions
eintracht eintracht
eintracht harmony
eintragen register
eintragen enter
ähnelt resemble
ähnelt resembles
rad wheel
rad rad
götter gods
vfb vfb
lass lass
lass let
harz harz
harz resin
beitragen contributing
beitragen contribute
lars lars
kopiert copied
lucas lucas
südtirol südtirol
schiedsrichter arbitrator
schiedsrichter referee
schiedsrichter ref
schiedsrichter umpire
schiedsrichter referees
dünn skinny
dünn thin
dünn sparse
bestimmungen regulations
bestimmungen stipulations
bestimmungen provisions
mauern wall
mauern walls
berechnet calculated
berechnet computed
berechnet charged
three three
verlieren losing
verlieren loose
verlieren loses
verlieren lose
gefangenschaft prisoner
gefangenschaft captive
gefangenschaft imprisonment
gefangenschaft detention
gefangenschaft captivity
henning henning
comics comics
comics comic
umfassenden comprehensive
sainte sainte
moon moon
wem whom
wem who
wem whose
teufel hell
teufel devil
teufel satan
teufel devils
notre notre
leinwand canvas
leinwand screen
hauptdarsteller starring
rugby rugby
vorhaben project
vorhaben projects
verarbeitet processed
verarbeitet wrought
riga riga
gültigen valid
kameramann cameraman
kameramann cinematographer
funktionieren functioning
vorn front
hansestadt hanseatic
madonna madonna
roberto roberto
bedeutend significantly
wohnen living
wohnen housing
wohnen live
vorfahren ancestors
vorfahren ancestral
vorfahren ancestor
level level
ressourcen ressources
ressourcen resource
ressourcen resources
laura laura
zeichnen draw
zeichnen drawing
zeichnen sketching
essays essays
bürgerschaft citizenship
bürgerschaft citizenry
vorträge lectures
vorträge speeches
vorträge conferences
vorträge presentations
vorträge talks
vorträge lecture
haushalten households
marianne marianne
wilde wild
wilde savages
wilde wilde
wilde feral
wilde savage
mathias mathias
österreichisch austrian
österreichisch austro
klarer clearer
mont mont
rumpf hull
rumpf torso
rumpf fuselage
rumpf trunk
anfangen start
anfangen begin
arabische arab
arabische arabic
arabische arabian
lyrik lyric
lyrik poetry
lyrik lyrics
wahlbezirk constituency
belgrad belgrade
gesellschaftliche societal
maryland maryland
abhängigkeit dependency
abhängigkeit addiction
abhängigkeit dependence
ankunft arrival
ankunft arriving
ankunft arrive
ankunft arrivals
gerichte tribunals
gerichte dishes
gerichte courts
mörder killers
mörder killer
mörder murderer
mörder murderers
mörder assassin
kats kats
sofia sofia
verändern changing
verändern modify
verändern alter
abu abu
glasgow glasgow
stürmer strikers
stürmer forwards
stürmer striker
heller brighter
heller heller
befreit liberated
befreit freed
befreit exempted
befreit exempt
emanuel emanuel
emanuel emmanuel
naturschutz conservation
naturschutz nature
anliegen concerns
kohle coal
kohle coals
kohle dough
kohle charcoal
erteilt issued
erteilt granted
graham graham
hauptsitz hq
hauptsitz headquarters
hauptsitz headquarter
caroline caroline
kaiserreich empire
kaiserreich imperial
konzern corporate
konzern group
konzern consolidated
konzern corporation
marokko morocco
marokko tangiers
nordischen norse
nordischen nordic
gebeten asked
gebeten prayers
wörtlich literally
wörtlich literal
wörtlich verbatim
wrestling wrestling
ryan ryan
manga manga
demo demo
renault renault
turner gymnast
turner turner
einnahmen income
einnahmen revenues
einnahmen earnings
einnahmen receipts
einnahmen revenue
kritiken reviews
kritiken critics
kritiken criticisms
kritiken criticism
kritiken reviewers
dorothea dorothea
renoviert refurbished
renoviert renovated
renoviert restored
renoviert redecorated
suhrkamp suhrkamp
kreuzung crossing
kreuzung crossroad
kreuzung intersection
kreuzung junction
kreuzung crossroads
kritisierte criticized
kritisierte criticised
gilbert gilbert
jemals ever
verschwunden gone
verschwunden vanished
verschwunden disappeared
aufeinander successive
aufeinander consecutive
benennung appointment
benennung naming
benennung nomination
benennung designation
captain capt
captain captain
kirchliche ecclesiastical
ausgang output
ausgang outgoing
ausgang exit
ausgang exits
estland tallinn
estland estonia
startet launches
startet starts
clara clara
älterer older
erwachsenen adults
erwachsenen adult
nad nad
garde garde
anzeige display
anzeige advertisement
anzeige displays
systemen systems
sierra sierra
meißen meissen
trennen separating
trennen disconnect
trennen separation
trennen separate
sogn sogn
entscheidende decisive
entscheidende crucial
stralsund stralsund
zwingend obligatory
zwingend imperative
zwingend mandatory
zwingend compulsory
spezialisiert specialised
spezialisiert specialized
transportiert conveyed
transportiert transported
innenraum interior
innenraum interiors
innenraum indoor
kennedy kennedy
karin karin
händler dealers
händler distributors
händler traders
händler retailers
händler distributor
händler dealer
beförderung carriage
beförderung promotion
mönchengladbach mönchengladbach
germanistik germanic
benachbarte neighboring
benachbarte neighbouring
benachbarte adjacent
durchschnitt average
durchschnitt averages
singen sing
singen chanting
singen singing
singen chant
camp camp
gewerbe trades
minden minden
gefecht battle
gefecht skirmish
campbell campbell
mind mind
mind min
beine legs
anführer leader
anführer leaders
lig lig
techniken technique
techniken techniques
asteroiden asteroid
asteroiden asteroids
woher whence
woher how
franco franco
betrachtung contemplation
überprüfung review
überprüfung verification
böden soils
böden floors
böden soil
option option
ägyptischen egyptian
stade stade
lukas luke
lukas lukas
lukas lucas
morgan morgan
ständigen standing
ständigen permanent
bühnen platforms
