indonesien	indonesia
reagieren	reaccionar
bedingung	condición
paolo	paolo
tagebuch	diario
ethik	ética
ausgewählte	seleccionados
britisch	británico
britisch	británicos
entdecken	descubrir
entdecken	descubra
entdecken	descubriendo
entdecken	descubre
berücksichtigen	enterados
gestapo	gestapo
beginnend	empezando
beginnend	comenzando
frequenz	frecuencia
lit	lit
auffällig	llamativo
seltene	raros
seltene	raras
marshall	marshall
handwerk	artesanía
most	most
most	mosto
houston	houston
adrian	adrian
reichlich	abundante
gefallenen	caído
gefallenen	caídos
kaffee	café
gedenkstätte	memorial
agent	agente
zagreb	zagreb
fokus	enfoque
fokus	foco
nations	nations
verbesserungen	mejoras
gegenseitig	mutuamente
schien	parecía
grey	grey
krakau	cracovia
gesendet	publicado
gesendet	enviado
zypern	chipre
anleitung	guía
jeff	jeff
geezer	geezer
staatsbürgerschaft	ciudadanía
staatsbürgerschaft	nacionalidad
zwang	coerción
zwang	coacción
unterart	subespecie
komplexe	complejos
verbündeten	aliado
verbündeten	aliados
truppe	tropa
türme	torres
türme	torre
hut	sombrero
verbleib	permanencia
abgeschafft	suprimido
milch	leche
kommerziellen	comerciales
jon	jon
schmitt	schmitt
bestände	existencias
hills	hills
drittes	tercera
drittes	tercer
drittes	tercero
anfänglich	inicialmente
beeinflussen	afectar
bug	bug
meilen	millas
farm	granja
gera	gera
motorrad	moto
lutherische	luterana
aktueller	actual
peer	peer
wellen	olas
maßstab	escala
hinterließ	dejó
landete	aterrizó
car	car
sopran	soprano
philosophische	filosófico
klassiker	clásico
burgund	borgoña
partnerschaft	asociación
erfordert	requiere
erfordert	requerido
pauli	pauli
brot	pan
ukrainischen	ucraniano
xiii	xiii
lehren	lecciones
marseille	marsella
hugh	hugh
erlebt	experimentado
chen	chen
leon	leon
french	french
duden	duden
beethoven	beethoven
mönche	monjes
krefeld	krefeld
tommy	tommy
ungarisch	húngaro
rgb	rgb
görlitz	görlitz
glatt	suave
glatt	liso
beauftragte	delegada
aussicht	perspectiva
beantworten	responder
erwerb	adquisición
passage	pasaje
stiegen	subieron
run	run
anime	anime
kairo	cairo
haltestelle	parada
bittet	invita
bittet	pide
olaf	olaf
bewusstsein	conciencia
erlauben	permitir
porträts	retratos
avenue	avenida
motors	motors
small	small
schumann	schumann
remix	remix
trikot	camiseta
lorenzo	lorenzo
gescheitert	fracasado
renate	renate
masters	masters
opern	ópera
tschechisch	checo
zugewiesen	asignado
zugewiesen	asignados
grundlegend	fundamental
kriegen	guerras
reifen	neumáticos
wolfram	tungsteno
roberts	roberts
komitee	comite
komitee	comité
hirsch	ciervo
umstand	circunstancia
unterarten	subespecies
ermittlungen	investigaciones
speicher	memoria
nancy	nancy
verwechseln	confundir
hunter	hunter
verschieden	diferentes
verschieden	diferente
get	get
krieger	guerrero
umstände	circunstancias
systematisch	sistemático
systematisch	sistemática
eichstätt	eichstätt
eastern	eastern
selbstverlag	selbstverlag
delta	delta
armin	armin
brockhaus	brockhaus
ivan	ivan
erwünscht	deseable
erwünscht	deseada
konzentriert	concentrado
konzentriert	centrado
edwin	edwin
kent	kent
matthäus	mateo
bond	bond
aluminium	aluminio
dimension	dimensión
schönheit	belleza
sauerstoff	oxígeno
erstellte	creó
mitchell	mitchell
marion	marion
rasse	raza
ingolstadt	ingolstadt
inschriften	inscripciones
zähne	dientes
cottbus	cottbus
gültig	válido
gültig	valido
bekamen	obtuvieron
statthalter	gobernador
sri	sri
systematische	sistemático
systematische	sistemática
