ζωρζ	georges
ελαφρύ	light
ελαφρύ	lightweight
πράσινη	green
θανάση	thanasi
πε	ip
μπλουζ	blues
γιαγιά	grandmother
γιαγιά	granny
γιαγιά	grandma
πτυχές	aspects
μεσοπολέμου	interwar
ευκολία	ease
ευκολία	convenience
συνέδρια	congresses
συνέδρια	conferences
συνέδρια	conventions
γκάρι	garry
γκάρι	gary
μουσολίνι	mussolini
γλυπτό	sculpture
ερευνητής	researcher
ερευνητής	seeker
ερευνητής	investigator
σεντ	ced
σεντ	cent
γραμμένα	written
τουρισμός	tourism
τακτικές	tactics
ιδιοκτήτη	owner
όροφο	floor
μεταφράζεται	translates
προστατεύει	protects
αίσθημα	feeling
σάντος	santos
ασκείται	exercised
ήχους	sounds
κατασκευασμένο	manufactured
κατασκευασμένο	constructed
συνομιλίες	talks
συνομιλίες	conversations
συνομιλίες	chats
υπέβαλε	submitted
χειρότερη	worst
χειρότερη	worse
έμποροι	traders
έμποροι	merchants
έμποροι	dealers
χάλυβα	steel
χιλιόμετρο	kilometre
χιλιόμετρο	kilometer
χιλιόμετρο	km
μεταλλικό	metal
μεταλλικό	metallic
νταν	dan
νταν	dunn
αρχηγία	leadership
εισέρχεται	enters
οχάιο	ohio
λούκας	lucas
λούκας	lukas
κινήθηκε	moved
ερωτήματα	questions
θρησκείες	religions
ισχυρός	powerful
περικλή	pericles
ιόντα	ions
ιόντα	ion
αλεξάντρ	aleksandr
αλεξάντρ	alexandre
συνέχιση	continuation
συνέχιση	continuing
συνέχιση	continue
διώξεις	persecution
εφευρέτης	inventor
άκρες	edges
σωματική	physical
εοκ	eec
ρόστερ	roster
κρίστοφερ	christopher
εφεύρεση	invention
σφραγίδα	stamp
σφραγίδα	seal
δωδεκανήσου	dodecanese
εμ	em
εμ	um
αναζητώντας	seeking
εντυπωσιακή	impressive
εντυπωσιακή	striking
αξιοσημείωτα	remarkably
αξιοσημείωτα	notable
αξιοσημείωτα	remarkable
προσθήκες	additions
προσθήκες	adds
συμπεριλαμβάνεται	included
μερίδα	portion
μερίδα	ration
ολοκληρωμένη	integrated
επιτίθεται	attacking
ρέει	flowing
αληθινή	true
πετρέλαιο	petrol
πετρέλαιο	oil
πετρέλαιο	petroleum
τουριστικό	tourist
αυτόματη	auto
αυτόματη	automatic
χωροφυλακής	gendarmerie
ολοκληρώθηκαν	completed
εκπαιδευτική	educational
τουρίστες	tourists
επικοινωνιών	communications
ανωτέρω	above
αβίβ	aviv
πυριτίου	silicon
πορτραίτο	portrait
τόνοι	tonnes
τόνοι	tons
σολομώντα	solomon
υπόγεια	underground
πάγο	ice
απορρίφθηκε	rejected
απορρίφθηκε	declined
ινδικό	indian
λεονάρντο	leonardo
απομόνωση	isolation
κάλιο	potassium
πολεμιστές	warriors
ενεργή	active
ενδιάμεσα	intermediate
μάρτυρας	martyr
μάρτυρας	witness
μαρξ	marx
καλύπτονται	covered
ερε	epe
τσαντ	chad
συντριβή	crash
συντριβή	crashing
ντόναλντ	donald
παραιτείται	resigns
συμβάλλει	contributes
μονάρχες	monarchs
καραϊβικής	caribbean
διαφωνώ	disagree
εναλλακτικές	alternatives
χρυσόστομος	chrysostomos
λάμπρος	lambros
ρομπότ	robots
ρομπότ	robot
υπεροχή	supremacy
υπεροχή	superiority
υπεροχή	dominance
υπεροχή	primacy
πληρεξούσιος	plenipotentiary
πληρεξούσιος	proxy
αξιωματούχος	official
οξείδιο	oxide
κήπους	gardens
αναμνήσεις	memories
παρατσούκλι	nickname
τυνησίας	tunisia
τυνησίας	tunisian
υεμένη	yemen
πρωταγωνιστής	protagonist
ρικ	rick
γεμάτο	loaded
γεμάτο	filled
μάνατζερ	manager
φορντ	ford
προπαγάνδα	propaganda
αφαιρέθηκε	removed
σπάνιες	rare
άρεσε	liked
φιλόλογος	philologist
καταγράφονται	recorded
μυθικό	mythic
μυθικό	mythical
μυθικό	legendary
χάθηκε	lost
πεζικό	infantry
τροποποιήσεις	amendments
τροποποιήσεις	changes
τροποποιήσεις	modifications
κλήρωση	raffle
κλήρωση	draw
κλήρωση	lottery
κλήρωση	drawing
ατομικά	individual
καύσιμο	fuel
ηλεκτρικά	electrical
ηλεκτρικά	electric
αμφισβήτηση	dispute
συντήρησης	maintenance
τζόνι	johnny
γκόρντον	gordon
στοκχόλμη	stockholm
νεότερα	newer
φιλ	phil
άλπεις	alps
μαρίνος	marinos
προεδρική	presidential
κομμουνιστική	communist
βόρειος	northern
αέρας	air
θέατρα	theatres
θέατρα	theaters
συνεργασίες	collaborations
συνεργασίες	partnerships
αποτελεσματικότητα	efficiency
αποτελεσματικότητα	effectiveness
αποτελεσματικότητα	efficacy
ενδεικτική	indicative
καθηγήτρια	teacher
νις	nis
αντίπαλοι	rivals
αντίπαλοι	opponents
αναπαριστά	represents
επενδύσεις	investments
επενδύσεις	investment
κάθετα	vertically
συνταγματικό	constitutional
κοινωνίες	societies
πλοήγησης	navigation
ύμνο	hymn
ύμνο	anthem
συμφώνησαν	agreed
εφτά	seven
μύθους	myths
σολ	sol
σολ	saul
ασφαλή	safe
λουλούδια	flowers
φάρος	lighthouse
φάρος	beacon
κεφαλαίου	capital
καύσιμα	fuel
καύσιμα	fuels
κοινοπολιτείας	commonwealth
κω	kos
ιό	virus
λανθασμένη	incorrect
διπλωματική	diplomatic
συλλαμβάνεται	arrested
κενά	gaps
άζωτο	nitrogen
έλενα	helena
έλενα	elena
έκβαση	outcome
έλευση	advent
οπωσδήποτε	definitely
ουσιαστικό	noun
εννιά	nine
κυκλική	cyclic
κυκλική	cyclical
κυκλική	circular
κόμικ	comics
κόμικ	comic
συμβουλές	tips
συμβουλές	advice
αστεροειδείς	asteroids
δημοσιεύει	publishes
δημοσιεύει	publish
μπελ	belle
μπελ	bel
μπελ	bell
επίσκοποι	bishops
θυγατέρα	daughter
παρεμβάσεις	interventions
παρεμβάσεις	intervention
αλληλογραφία	correspondence
αλληλογραφία	mail
μάθηση	learning
μπριτάνικα	britannica
συμπεριφορές	behaviors
συμπεριφορές	attitudes
ποικίλες	varied
αμπού	abu
εξαιρετικές	exceptional
παρένθεση	parentheses
παρένθεση	brackets
πυραύλων	missile
προσεγγίσεις	approaches
επιχειρηματίες	entrepreneurs
επιχειρηματίες	businessmen
φωτεινή	bright
φωτεινή	luminous
κατέρρευσε	collapsed
βιομηχανικό	industrial
μετανάστευσης	migration
μετανάστευσης	immigration
εκκλησάκι	chapel
ρήμα	verb
γενεύη	geneva
ανίχνευση	detection
ανίχνευση	detect
κατευθείαν	straight
καλλιτεχνικά	artistic
πρωτότυπα	originals
πρωτότυπα	prototypes
ικανό	capable
ψάρι	fish
τρύπα	hole
επικρατήσει	prevail
χαμηλότερα	lower
εικάζεται	presumed
αστυνομικό	policeman
αρχαιολόγοι	archaeologists
ψωμί	bread
υποταγή	allegiance
υποταγή	submission
πρόθεμα	prefix
προφανές	obvious
λάνκα	lanka
συνελήφθησαν	arrested
στε	sto
κβαντική	quantum
σον	shawn
σον	sean
παράμετρος	parameter
κένυα	kenya
προτίμηση	preference
ανθρωπότητας	humanity
επιβλήθηκε	enforced
επιβλήθηκε	imposed
ανεξάρτητοι	independent
ανεξάρτητοι	freelancers
ανεξάρτητοι	independents
ντόπιους	locals
εγγύς	proximal
αμερικάνικο	american
βαλκανίων	balkans
καρπός	fruit
καρπός	wrist
ραφαήλ	raphael
τανζανία	tanzania
ακραία	extreme
διατίθεται	available
αθλητή	athlete
αποτρέψει	prevent
αποτρέψει	deter
μεσαιωνικό	medieval
μάριος	marios
μάριος	marius
ταξιαρχία	brigade
καταστρέψει	destroy
###	###
δακτύλιος	ring
επιβεβαίωσε	confirmed
χαλκίδας	chalcis
γενιές	generations
εξερεύνηση	exploring
εξερεύνηση	explore
εξερεύνηση	exploration
θεοδώρα	theodora
αλφόνσο	alfonso
δολάριο	dollar
βοηθώντας	helping
αντίγκουα	antigua
γαβριήλ	gabriel
λόρενς	laurence
λόρενς	lawrence
σύνθημα	motto
σύνθημα	password
σύνθημα	slogan
λούντβιχ	ludwig
επιτεύγματα	achievements
επιτεύγματα	accomplishments
κεραυνός	thunder
κεραυνός	thunderbolt
κεραυνός	lightning
υπολογισμούς	calculations
παρών	present
τσε	che
τετράγωνα	squares
τετράγωνα	blocks
όλιβερ	oliver
αραβικό	arab
αραβικό	arabic
αραβικό	arabian
γραπτή	written
επιτέλους	finally
μολδαβία	moldova
καναδός	canadian
ριχάρδος	richard
ακαδημαϊκό	academic
κιμ	kim
κοιλιά	tummy
κοιλιά	belly
κοιλιά	abdomen
πυρ	fire
μπάρι	bari
μπάρι	barry
προσφέροντας	offering
ακουστική	acoustics
ακουστική	acoustic
πολωνική	polish
πέδρο	pedro
αμοιβή	fee
αμοιβή	remuneration
αμοιβή	reward
μύθοι	myths
μύθοι	legends
υψηλότερα	higher
μετατόπιση	shift
μετατόπιση	shifting
μετατόπιση	displacement
μετατόπιση	offset
παρουσιάστηκαν	presented
μέτρια	medium
μέτρια	moderate
επηρεάσει	affect
επηρεάσει	influenced
μάρσαλ	marshall
ποσά	amounts
συνταγματική	constitutional
υποδομών	infrastructures
μάζες	masses
δορυφόρο	satellite
στροφές	revs
στροφές	speed
τραπέζι	table
δορυφόρους	satellites
διονύσου	dionysus
διαφοροποίηση	differentiation
διαφοροποίηση	modulation
διαφοροποίηση	diversification
κόμβο	splice
εντοπιστεί	traced
διακρίνει	distinguishes
συνδεδεμένη	connected
συνδεδεμένη	linked
αναφέρω	mention
εγκέφαλο	brain
προσθέτοντας	adding
χασάν	hassan
χασάν	hasan
εκτελέστηκαν	executed
φλόγα	flame
ηλέκτρα	elektra
ηλέκτρα	electra
οργανώνει	organizes
οργανώνει	organises
ραούλ	raoul
ραούλ	raul
ραούλ	raúl
ραούλ	rahul
κυκλάδες	cyclades
δον	don
απεικονίζουν	depict
εξελίσσεται	evolving
δολοφονίες	killings
δολοφονίες	assassinations
δολοφονίες	murders
μποτσουάνα	botswana
αρμονία	harmony
ρήνου	rhine
τσάρλι	charlie
ηλιακή	solar
μοτίβα	patterns
κινδύνους	risks
κινδύνους	dangers
πύργοι	towers
φόρουμ	forums
φόρουμ	forum
διαφθορά	corruption
μεμονωμένα	individually
μεμονωμένα	individual
στράτευμα	troop
στράτευμα	troops
τετάρτη	wednesday
διασταύρωση	intersection
διασταύρωση	junction
τει	tei
μαχητικά	fighters
αιχμάλωτος	prisoner
αιχμάλωτος	captive
αιχμάλωτος	captured
συνομοσπονδίας	confederation
χίτσκοκ	hitchcock
αντίποινα	reprisals
αντίποινα	retaliation
αντίποινα	reprisal
παραχώρηση	concession
ιδανικό	ideal
ενηλίκων	adult
ενηλίκων	adults
ύδατα	waters
υψηλάντη	ypsilanti
μεραρχίες	divisions
αυστριακό	austrian
πυροβολικό	artillery
τέλεια	perfect
τέλεια	great
απογραφές	inventories
απογραφές	censuses
γάτα	cat
θαύμα	miracle
θαύμα	wonder
ισότητα	equality
ισότητα	equal
ίκαρος	icarus
αλγερίας	algeria
γκαλερί	galleries
γκαλερί	gallery
κολούμπια	columbia
εγκεφαλικό	stroke
αλαμπάμα	alabama
έφορος	curator
εντάξει	ok
εντάξει	okay
σύνορο	border
σύνορο	frontier
λειτουργική	functional
λειτουργική	operational
κρίσεις	seizures
κρίσεις	crises
πωλήσεων	sales
γλυκό	sweet
γκαρντ	gard
μιγκέλ	miguel
ρούντολφ	rudolph
ρούντολφ	rudolf
ιλ	il
πήτερ	peter
χρήσιμες	useful
κοπεγχάγη	copenhagen
δίσκοι	records
δίσκοι	discs
δίσκοι	disks
ολοκαύτωμα	holocaust
βενεζουέλας	venezuelan
βενεζουέλας	venezuela
έσπασε	broke
υποκείμενο	subject
κυριάκος	kyriakos
καθήκον	duty
καθήκον	task
παναμά	panama
σημειωματάριο	notebook
σημειωματάριο	notepad
\\	\\
λιγότερες	fewer
λιγότερες	less
δόση	dosage
δόση	dose
εξεγέρσεις	riots
