modificar	modificare
land	land
cedido	ceduto
definido	definito
terrestres	terrestri
rara	rara
soviéticos	sovietici
figueroa	figueroa
adquirido	acquisito
pérdidas	perdite
fantasía	fantasia
fenómenos	fenomeni
mini	mini
master	master
africano	africano
let	let
poética	poetica
robinson	robinson
otomano	ottomano
over	over
finanzas	finanza
sinfónica	sinfonica
suborden	sottordine
boxeo	pugilato
ocupada	occupata
renault	renault
raymond	raymond
iron	iron
comparte	condividi
jerry	jerry
árbitro	arbitro
antropología	antropologia
favorable	favorevole
bizantino	bizantino
significativa	significativa
protegida	protetta
fiel	fedele
derivado	derivato
rodaje	rodaggio
escalera	scala
heinrich	heinrich
reglamento	regolamento
gigantes	giganti
experimentos	esperimenti
paisajes	paesaggi
mito	mito
grabados	incisioni
efectivo	contanti
robot	robot
port	port
cárdenas	cárdenas
cuota	quota
roland	roland
obreros	operai
sagrada	sacra
primarias	primarie
interpretaciones	interpretazioni
hembra	femmina
gold	gold
procedimientos	procedure
dominante	dominante
fred	fred
rob	rob
chaco	chaco
luchador	combattente
ligera	leggera
facultades	facoltà
tocando	toccando
recuerdos	ricordi
site	site
mantenido	mantenuto
popularmente	popolarmente
específicos	specifici
wright	wright
falla	faglia
llano	pianura
romper	rompere
huerta	orto
huerta	frutteto
septentrional	settentrionale
seguimiento	monitoraggio
difíciles	difficili
cerveza	birra
proyección	proiezione
neerlandés	olandese
chiapas	chiapas
compuestas	composte
contenía	conteneva
bloqueado	bloccato
maneras	modi
salen	escono
infierno	inferno
gastos	spese
africana	africana
conformado	formatura
depósito	deposito
lucio	lucio
montenegro	montenegro
avanzada	avanzata
emma	emma
terry	terry
jornadas	giornate
situados	situati
lobos	lupi
especialista	specialista
octava	ottava
pendiente	orecchino
realista	realistico
century	century
definitivo	definitivo
recordar	ricordare
paraíso	paradiso
autora	autrice
funcionar	funzionare
testimonio	testimonianza
malta	malta
balonmano	pallamano
bloques	blocchi
positiva	positiva
separa	separa
turner	turner
vidal	vidal
polvo	polvere
componen	compongono
tomada	scattata
tomada	presa
balón	palla
fija	fissa
declara	dichiara
alegría	gioia
luxemburgo	lussemburgo
prusia	prussia
declaraciones	dichiarazioni
cronología	cronologia
cría	allevamento
ilustraciones	illustrazioni
cross	cross
ron	ron
estrada	estrada
singular	singolare
tratan	trattano
vital	vitale
comenzado	iniziato
phoenix	phoenix
semi	semi
maine	maine
varsovia	varsavia
masacre	massacro
vinos	vini
denuncia	denuncia
decidir	decidere
frutas	frutta
periodos	periodi
obtenidos	ottenuti
desempeña	svolge
graham	graham
duquesa	duchessa
delito	delitto
delito	reato
preocupación	preoccupazione
metales	metalli
sufrir	soffrire
golf	golf
asistencias	assist
creencias	credenze
sucre	sucre
baltimore	baltimora
stars	stars
reputación	reputazione
toman	prendono
party	party
norman	norman
humberto	humberto
humberto	umberto
participante	partecipante
