विराट	virat
नक्शे	maps
पाइप	pipe
पाइप	pipes
त्रिभुज	eagle
त्रिभुज	triangle
खलनायक	villain
खलनायक	villains
खलनायक	villian
ईस्टवुड	eastwood
रूम	rooms
रूम	room
मैक्सिको	mexico
जज	judge
नरसिंह	narasimha
पुरातन	antique
व्यवसायिक	profession
विजयनगर	vijayanagar
अल्फा	alpha
अल्फा	alfa
डालर	dollar
छद्म	pseudo
निशाना	target
ईस्टर	easter
ऑटोमोबाइल	automobiles
ऑटोमोबाइल	automobile
राउंड	round
बेरी	beri
बेरी	berry
नरम	soft
नरम	soften
रोमांटिक	romantic
गेंदबाज	bowler
जन्मदिन	birthdays
जन्मदिन	birthday
काँच	glass
सूप	soup
नेट	net
नेट	nets
जेरिको	jericho
तेरे	tere
टैगोर	tagore
रा	ra
हॉप	hop
उठता	arise
उत्परिवर्तन	mutation
गेज	gauge
ओपेरा	opera
मैट्रिक्स	matrix
जार्ज	george
कौर	kaur
बिल्ली	cat
क्षुद्रग्रह	asteroids
क्षुद्रग्रह	asteroid
आसमान	sky
आसमान	skies
मिनी	mini
क्रियाएँ	activities
क्रियाएँ	verbs
क्रियाएँ	actions
क्रियाएँ	activity
वैली	wally
सौरभ	saurabh
याचिका	petition
सुविधाजनक	convenient
स्नेह	affection
फेसबुक	facebook
जैक्सन	jackson
चोर	chor
चोर	thieves
चोर	thief
कॉपी	copied
कॉपी	copy
कॉपी	copies
डाइऑक्साइड	dioxide
केप	cape
मौसमी	seasonal
भेजी	sent
कमेटी	committee
मौजूदगी	presence
दोस्ती	friendship
बम्बई	bombay
प्रेरक	motivational
प्रेरक	inductor
पंप	pump
दाने	grains
एयरबस	airbus
सील	seal
आभासी	virtual
सलीम	salim
मेगावाट	mw
आश्वासन	solace
नक्काशी	engraving
नक्काशी	carving
विचलन	deviation
डबिंग	dubbing
डेविस	davis
होस्ट	host
होस्ट	hosts
जलाशय	basin
ऋणात्मक	negative
जवान	young
जवान	jawan
सूफी	sufi
अंदरूनी	aralia
डॉग	dog
टूल	tools
उदा	ex
टैक्सी	taxi
टैक्सी	cab
टैक्सी	taxis
अचल	immovable
सूरा	chapter
सूरा	surah
सूरा	sura
पेरू	peru
परिणत	transforms
भूरा	brown
भूरा	browns
चलाता	executes
यूनिक्स	unix
गार्ड	guards
गार्ड	guard
गिना	counted
पाण्डेय	pandey
रेलमार्ग	railroad
गेहूं	wheat
ब्राह्मी	brahmi
बेसिक	basic
फेडरेशन	federation
रस्सी	rope
क्रीम	cream
परेड	parade
अलास्का	alaska
शुद्धता	chastity
शुद्धता	accuracy
रुद्र	rudra
रचनाकार	writer
पाण्डवों	pandavas
बरेली	bareilly
शिशुओं	babies
अंगूर	grape
अंगूर	grapes
विश्वव्यापी	worldwide
लेनी	leni
धवन	dhawan
देह	body
देह	deh
जौ	barley
खाई	ditch
युवावस्था	youth
स्टाइल	style
शिला	shillong
रेड्डी	reddy
भैरव	bhairava
गुरुकुल	gurukul
गुरुकुल	seminary
लौटे	returned
कारखानों	factories
ढांचा	frames
ढांचा	frame
ढांचा	structure
मजदूरी	wage
मजदूरी	wages
विस्थापन	displacement
कठिनाइयों	difficulties
चैन	chan
चैन	chain
क्लान	klan
प्रतीकों	symbols
भ्रष्ट	corrupt
भ्रष्ट	corrupted
अभियान्त्रिकी	engineering
सामंजस्य	harmony
दामोदर	damodar
बंगला	bangla
पैक	packs
पैक	pack
छाल	bark
पिक्चर	picture
पिक्चर	pixar
इराक़	iraq
परीक्षित	parikshit
वाइन	wine
फारस	persia
शतरंज	chess
गर्भपात	abortion
अनिरुद्ध	anirudh
छावनी	cantonment
प्रकोप	indignation
प्रकोप	wrath
ग्रीष्म	summers
ग्रीष्म	summer
बेल्ट	belts
बेल्ट	belt
पुजारी	priest
प्लेस	place
खां	khan
मीना	mina
तीर्थंकर	tirthankara
एनीमेशन	animation
एनीमेशन	optimization
एनीमेशन	animations
ज्वार	sorghum
नॉन	non
समस्याएँ	problems
समस्याएँ	issues
एलिजाबेथ	elizabeth
डिएगो	diego
रांची	ranchi
पैट्रिक	patrick
विक्टर	victor
मित्रता	friendliness
मित्रता	amity
मित्रता	friendship
विश्वसनीयता	credibility
विश्वसनीयता	reliability
यूरेनियम	uranium
सीकर	sikar
श्रद्धांजलि	tribute
श्रद्धांजलि	tributes
ढेर	piles
स्तुति	praise
भुवनेश्वर	bhubaneswar
ड्रीम	dream
कैप्टन	capt
कैप्टन	captain
वेधशाला	observatory
दरभंगा	darbhanga
भारद्वाज	bhardwaj
कुत्ता	dog
रामचंद्र	ramchandra
रामचंद्र	ramachandra
तुरन्त	immediately
तुरन्त	instantly
क्लबों	club
छीन	snatched
जड़ें	roots
सरसों	mustard
इमाम	imam
वार्नर	warner
सिस्टम्स	systems
चलना	walking
चलना	walk
धुन	tune
समितियों	committees
मसाले	spices
लेबनान	lebanon
औचित्य	justification
भट्टाचार्य	bhattacharya
रूपक	metaphor
नौका	yacht
नौका	boat
साहनी	sahni
शैवाल	algae
निपटान	disposal
निपटान	settlement
प्रचारक	promoters
प्रचारक	campaigner
साईट	site
स्वीडिश	swedish
स्वीडिश	sweden
शारदा	sarada
एडम्स	adams
अभिगम	access
मंत्रिमंडल	ministries
मंत्रिमंडल	cabinet
पहना	wore
सिखों	sikh
सिखों	sikhs
पैतृक	paternal
लेट	late
तिल	sesame
ट्विटर	twitter
जेरी	jere
जेरी	jerry
पतला	skinny
पतला	slim
पतला	thin
पतला	slight
न्यूज	news
आइलैंड	island
मयूर	mayur
रिलायंस	reliance
कमला	kamala
कमला	kamla
कमर	waist
कमर	qamar
फौज	army
कैमरे	cameras
कमाल	awesome
उठाना	raising
निकास	exit
मुद्राओं	poses
मालिश	massages
मालिश	massage
कॉमिक	comic
आसवन	distillation
क्वार्टर	quarter
मॉनमाउथ	monmouth
लाइनों	lines
पाषाण	quarry
नीली	nilgai
कवक	fungus
क्षतिपूर्ति	compensation
क्षतिपूर्ति	damages
क्षतिपूर्ति	retrieval
सूखा	dry
सूखा	drought
रहस्यमय	mysterious
इस्लामिक	islamic
रजिस्टर	registers
रजिस्टर	register
सिंगल	single
सन्धि	treaty
अनूदित	translated
चमत्कार	miracles
चमत्कार	miracle
चमत्कार	wonders
गोला	sphere
उत्तेजना	excitement
उत्तेजना	furore
अमृता	amrita
गेट्स	gates
विमानन	aviation
संचय	cache
डैनियल	daniel
वायरलेस	wireless
फिलाडेल्फिया	philadelphia
टुकड़ा	fragment
टुकड़ा	piece
टुकड़ा	slice
टुकड़ा	blurs
लेफ्टिनेंट	lieutenant
स्पैनिश	spanish
अपोलो	apollo
गोरखा	gurkha
एफबीआई	fbi
कैमरून	cameroon
हाइब्रिड	hybrids
हाइब्रिड	hybrid
बलात्कार	rape
संतोष	satisfaction
संतोष	santosh
संतोष	contentment
बस्तियों	localities
कथाएं	tales
रोलिंग	rolling
रोलिंग	rowling
सजावट	decoration
सजावट	decorations
टेरी	terry
हिमनद	glacier
टीबी	tb
कैफीन	caffeine
अस्थिर	giddy
अस्थिर	capricious
अस्थिर	unstable
राख	ashes
राख	ash
संकुचन	compression
संकुचन	contraction
पार्टियों	parties
इन्टरनेट	interrupt
इन्टरनेट	internet
जीवंत	vibrant
जीवंत	lively
उर्वरक	fertilizer
अनुवादक	translator
अनुवादक	translators
शोक	mourning
आरोपों	accusations
सउदी	saudis
उपसर्ग	prefix
दिलचस्प	interesting
दिलचस्प	delightful
संयम	restraint
संयम	sobriety
आँखें	eyes
कच्चा	raw
पुनर्गठन	reorganisation
शाप	curse
शाप	darn
कैपिटल	capitals
कैपिटल	capitol
वैवाहिक	matrimonial
वैवाहिक	marital
बास	bass
फतेहपुर	fatehpur
दशरथ	dasharatha
घुटने	knee
कम्प्यूटिंग	computing
पुरोहित	purohit
अपराधियों	culprits
अपराधियों	offenders
अपराधियों	criminals
डेस्कटॉप	desktop
जीती	won
जादुई	magical
पोर्टलैंड	portland
सितारे	stars
डीजल	diesel
तेरह	thirteen
स्पिन	spin
स्पिन	pints
फ्रैंकफर्ट	frankfurt
गिने	numbered
गिने	counted
स्टेज	stages
स्टेज	stage
निष्ठा	dedication
निष्ठा	sincerely
निष्ठा	devotion
निष्ठा	allegiance
अंतरण	spacing
वामन	vaman
इंटरफ़ेस	interface
ऑप्टिकल	optical
साँस	breathe
साँस	breath
साँस	breathing
स्विट्ज़रलैंड	switzerland
कैल्सियम	calcium
कथाकार	storyteller
दीप	deep
ग़लत	wrong
ग़लत	erroneous
निकालकर	removing
मुजफ्फरपुर	muzaffarpur
बंधक	hostage
बंधक	mortgage
एंटीबॉडी	antibody
पटल	panel
प्रत्यारोपण	implant
प्रत्यारोपण	transplantation
प्रत्यारोपण	transplant
कर्मियों	personnel
साठ	sixty
लैंड	land
वियना	vienna
नाइट्रेट	nitrate
ज़रूर	sure
कॉमन्स	commons
व्यवसायी	businessman
उपनिषद्	upanishads
सीनियर	seniors
सीनियर	sr
नकद	cash
समीक्षक	reviewer
आभूषण	jewelry
आभूषण	jewellery
