adresa	address
zarobljen	captured
zarobljen	trapped
broz	broz
navijači	fans
danny	danny
maksimalno	maximum
plavo	blue
igrališta	playground
igrališta	playgrounds
rukomet	handball
motivi	motives
zabranjen	banned
zabranjen	forbidden
uzorak	sample
uzorak	pattern
blato	mud
vjerovanje	believing
vjerovanje	belief
izrada	making
amat	amat
sukobima	clashes
streljivo	ammunition
streljivo	ammo
organ	organ
namjena	purpose
pietro	pietro
tipovi	types
pregovore	negotiations
domena	domain
formiranje	forming
formiranje	formation
formacija	formation
htm	htm
istražuje	exploring
istražuje	explores
istražuje	investigating
ratnika	warrior
amy	amy
upala	inflammation
chelsea	chelsea
kijev	kiev
cvjetovi	flowers
milošević	milosevic
uništenje	destruction
odredbe	provisions
connecticut	connecticut
pedeset	fifty
sultana	sultan
odjeća	outfit
odjeća	clothing
odjeća	clothes
enzima	enzyme
hodge	hodge
sastavio	compiled
chicagu	chicago
organizam	organism
braniti	defend
trava	grass
trava	weed
lovro	lovro
pocock	pocock
panzer	panzer
konstanta	constant
nestaje	disappears
nestaje	disappearing
uredio	edited
antike	antiquity
osmi	eighth
wolf	wolf
masti	grease
masti	fat
kvartet	quartet
prsa	chest
venezuela	venezuela
stolice	chairs
debitantski	debutante
grijanje	heat
grijanje	heating
nepoznati	unknown
una	una
newton	newton
legija	legion
oluje	storms
oluje	storm
ravno	straight
centara	malls
centara	centers
centara	centres
zvona	bells
odvaja	separates
časnici	officers
traka	tape
uzroci	causes
smanjena	decreased
smanjena	diminished
smanjena	reduced
jay	jay
preostali	remaining
pridonio	contributed
faso	faso
vjernici	believers
zmije	snakes
agg	agg
hns	hns
nekako	somehow
glume	acting
rogers	rogers
franklin	franklin
enterprise	enterprise
označen	tagged
označen	marked
stihove	verses
stihove	lyrics
zhou	zhou
davies	davies
političari	politicians
meyrick	meyrick
kom	kom
folk	folk
susan	susan
autoceste	highways
autoceste	highway
autoceste	freeways
najmanji	smallest
party	party
prosječan	average
emitiranja	broadcasts
pozornici	uniforms
pozornici	stage
carski	imperial
čuje	hears
kruh	bread
svjestan	aware
svjestan	conscious
izgovor	pronunciation
stuart	stuart
tenis	tennis
diplomirala	graduated
priručnik	manual
fraser	fraser
calamus	calamus
gladi	starvation
gladi	hunger
nikolaj	nikolai
evanđelja	gospels
evanđelja	gospel
dodir	touch
vlakna	fibres
vlakna	fiber
vlakna	fibers
stabilnost	stability
uskrs	easter
doprinose	contribute
doprinose	contributions
messier	messier
bryum	bryum
carmela	carmela
perspektive	perspective
perspektive	perspectives
ubrzanje	acceleration
česte	frequent
zatvaranje	closure
zatvaranje	closing
spol	gender
moli	molly
merr	merr
joey	joey
komet	comet
fred	fred
čista	pure
jednostavna	simple
pokreti	movements
pokreti	moves
seljaci	villagers
seljaci	peasants
stup	pillar
stup	pole
predviđa	predicts
potomak	descendant
potomak	scion
potomak	descendent
naprezanja	stresses
varijante	variants
dragi	dear
dragi	darling
tomo	tomo
franco	franco
koreji	korea
klana	clan
demokratski	democratically
demokratski	democratic
afganistanu	afghanistan
suđenje	trial
fond	fund
bacanje	throwing
bacanje	pitch
matematički	mathematical
matematički	math
matematički	mathematically
minerala	mineral
minerala	minerals
nisko	low
bennett	bennett
blaga	treasure
blaga	mild
blaga	treasures
spajanje	merger
spajanje	merge
schultz	schultz
keith	keith
level	level
stanovnik	resident
mitologija	mythology
dol	dol
plovila	vessel
plovila	vessels
foto	photo
kullander	kullander
zeus	zeus
stuttgart	stuttgart
radionice	workshop
radionice	workshops
izrazio	voiced
izrazio	expressed
kamerun	cameroon
duži	longer
raymond	raymond
precizno	precise
precizno	precision
standl	standl
reaktor	reactor
plasmodium	plasmodium
kneževine	principalities
odjednom	suddenly
utočište	sanctuary
utočište	refuge
izdavanje	issuance
izdavanje	issuing
prijeti	threatening
prijeti	threatened
prijeti	threatens
mhz	mhz
izloženi	exposed
bicolor	bicolor
proslavio	celebrated
montevideo	montevideo
nadležnosti	jurisdiction
chase	chase
predrag	predrag
istanbul	istanbul
gledajući	watching
atlético	atlético
svezaka	volumes
ing	ing
mladež	youth
mladež	mole
kinezi	chinese
simplex	simplex
ćelije	cells
tihomir	tihomir
soundtrack	soundtrack
vidljiva	visible
sudbine	fates
sudbine	destinies
sudbine	destiny
potteru	potter
poeziju	poetry
izraelski	israeli
fisher	fisher
crystal	crystal
minogue	minogue
logo	logo
jeruzalemu	jerusalem
bull	bull
odvojeno	separately
odvojeno	separate
polufinale	semis
polufinale	semifinals
živ	alive
drami	drama
vidljivi	visible
završilo	ended
sound	sound
alberto	alberto
odabir	selection
odabir	selects
odabir	select
bailey	bailey
konvencija	convention
napisano	written
cameron	cameron
liverpool	liverpool
koncerte	concerts
posvećuje	devotes
kraljević	prince
sektor	sector
slijetanja	landings
slijetanja	landing
karsch	karsch
čudo	miracle
čudo	wonder
ontario	ontario
oksid	oxide
mijenjao	traded
leonard	leonard
carigrad	constantinople
imanja	estates
gnijezdo	nest
grbu	hump
japonica	japonica
jacobi	jacobi
motore	motorcycles
korijene	roots
bubanj	drum
raj	heaven
raj	raj
raj	paradise
sinj	sinj
nedovoljno	insufficient
teologiju	theology
forel	forel
leconte	leconte
mac	mac
niska	low
istraživači	explorers
istraživači	researchers
heckel	heckel
draconarius	draconarius
hvar	hvar
jefferson	jefferson
ibm	ibm
vježbe	exercises
vježbe	exercise
podiže	raises
organizirati	organize
organizirati	organise
sjaja	brightness
owen	owen
mrtav	dead
prevodi	translate
prevodi	translations
prevodi	translates
napravljeno	made
autoritet	authority
richards	richards
jelo	dish
jelo	meal
suđenja	trials
rijetke	rare
zvanje	dialling
obavljanje	performing
zima	winter
hašk	hašk
dell	dell
teolog	theologian
dizajniran	designed
mart	mart
neutrona	neutrons
pallas	pallas
mlad	young
ponavlja	repeats
kritički	critically
miro	miro
hansen	hansen
eventualno	possibly
hasan	hasan
hasan	hassan
vožnje	rides
run	rune
rog	rog
rog	horn
straneo	straneo
antonija	antonia
antonija	antony
prisiljeni	forced
posude	pots
mnk	mnk
frankfurt	frankfurt
zabrana	ban
oblak	cloud
projektil	projectile
projektil	missile
herbert	herbert
vijetnamu	vietnam
uspostaviti	establish
slatina	slatina
chang	chang
bibliografija	bibliography
upale	inflammation
carla	carla
paolo	paolo
odgovornosti	responsibilities
odgovornosti	responsibility
odgovornosti	accountability
rođak	relative
rođak	cousin
reformi	reforms
završi	finish
operi	opera
operi	wash
slava	praise
slava	fame
slava	glory
odabrao	chose
bubrega	kidney
doprinosa	contributions
jača	stronger
pustinja	desert
zaklada	foundation
pojmovi	notions
ustavom	constitution
mey	mey
trup	hull
lokaciju	location
evanđelje	gospel
ljubo	ljubo
sims	sims
sims	simms
zmaja	dragon
domaća	domestic
domaća	homemade
atentat	assassination
single	single
zločini	crimes
balkanu	balkans
brunner	brunner
jupiter	jupiter
born	bourne
pomogla	helped
strategija	strategy
balkan	balkans
balkan	balkan
peć	stove
peć	furnace
peć	oven
ramena	shoulders
slavonska	slavonian
pablo	pablo
regionalni	regional
letove	flights
predaja	surrender
protivnici	opponents
bizantskog	byzantine
pločica	tile
morgan	morgan
pretrpio	endured
pretrpio	suffered
holmes	holmes
anemone	anemone
pojavljivanje	appearance
izvoz	exports
izvoz	export
freske	frescoes
rođeni	born
godišnjice	anniversaries
blokada	roadblock
blokada	blockade
teleskopa	telescopes
adaptacija	adaptation
izumitelj	inventor
hoya	hoya
zaštitni	protective
leti	fly
leti	flies
leti	flying
metković	metković
etiopiji	ethiopia
socijalno	socially
objašnjenja	explanations
preuzimanje	download
preuzimanje	downloading
preuzimanje	takeover
unuka	granddaughter
unuka	grandson
opstanak	survival
lokalitetu	locality
kritiku	critique
lud	insane
lud	crazy
minimalno	minimum
minimalno	minimal
dramu	drama
sean	sean
perzijanci	persians
azija	asia
prijetnja	threat
baden	baden
datoteke	files
živote	lives
apollo	apollo
hogna	hogna
admin	admin
nestala	missing
corydoras	corydoras
bird	bird
vjerojatnost	probability
plaća	salary
plaća	pays
plaća	pay
terapija	therapy
pristimantis	pristimantis
ribeiro	ribeiro
hahn	hahn
johannes	johannes
statut	statute
platforma	platform
wallace	wallace
cipar	cyprus
wunderlich	wunderlich
georges	georges
misa	mass
misa	misa
kat	kat
