cēlonis	cause
nulles	zero
nulles	null
tīri	purely
tīri	pure
tanki	tanks
nieru	renal
zaļš	green
novi	nowy
novi	novi
ierocis	weapon
ierocis	gun
patvērumu	asylum
beidou	beidou
izskaidrot	explain
mērķa	target
virsnieka	officer
īpašā	special
maksāt	pay
dialekts	dialect
propagandas	propaganda
ārmstrongs	armstrong
nes	brings
nes	carries
minēt	mention
minēt	cite
pīle	duck
sky	sky
augšup	up
profesijas	professions
profesijas	occupations
pienākums	duty
pienākums	obligation
slēpošanas	ski
princeses	princess
princeses	princesses
nacionālistu	nationalist
pedro	pedro
nami	nami
pētīt	exploring
teritoriālā	territorial
sods	penalty
sods	punishment
sods	sentence
aglomerācijā	agglomeration
geschichte	geschichte
nepareizi	incorrect
nepareizi	wrong
saucās	called
upēs	rivers
izgāja	walked
gustav	gustave
segsēkļi	angiosperms
agresīvi	aggressively
agresīvi	aggressive
observatorija	observatory
panthers	panthers
galvaskausa	cranial
galvaskausa	skull
dzērienu	drink
individuāli	individually
individuāli	individual
veca	old
kirī	curie
ogre	ogre
aragonas	aragon
muskuļi	biceps
muskuļi	muscles
muskuļi	muscle
izdošanu	extradition
vaz	vaz
armands	armand
maksa	fee
maksa	fees
hokejs	hockey
sabres	sabres
torņi	towers
airbus	airbus
amonija	ammonium
beatles	beatles
atsakās	refuses
izpildes	enforcement
xvii	xvii
vārtsargu	goalie
dabiskā	natural
organizēta	organised
organizēta	organized
vjačeslavs	vyacheslav
bass	bass
atis	atis
putekļu	dust
personāla	staffing
apziņas	conscience
bodyclass	bodyclass
devīze	motto
devīze	slogan
luīze	luisa
luīze	louise
aļaskas	alaska
spējīgs	able
spējīgs	capable
pieredzes	experiences
pieredzes	experience
klients	customer
klients	client
uzticību	confidence
uzticību	trust
gribēja	wanted
españa	españa
mocarts	mozart
vēlākā	later
gailis	cock
relāciju	relational
komiķis	comedian
personīgā	personal
norobežo	demarcate
šķirnēm	varieties
šķirnēm	cultivars
serbija	serbia
notiesāts	convicted
notiesāts	sentenced
sacīkstēm	races
demokrātisko	democratic
sfēras	domains
sfēras	spheres
parastās	usual
pārvietot	move
skolām	schools
ētikas	ethical
ētikas	ethics
atsevišķs	separate
apskats	overview
projektus	drafts
gumijas	rubber
side	side
beidz	stop
procesors	processor
procesors	cpu
skujkoku	coniferous
skujkoku	conifer
vecākie	elders
žagata	magpie
logi	windows
sakas	saka
īstais	real
gājēju	pedestrian
augstākie	upper
amūras	amur
aizmugures	rear
suņiem	dogs
gregors	gregor
kaldera	caldera
pasaku	fairytale
kaļķakmens	limestone
plakāts	poster
sūtnis	envoy
emanuels	emanuel
emanuels	emmanuel
mazūrijas	masurian
mezglu	knot
atbildību	accountability
klosterī	convent
piedalījušies	participated
dec	dec
ieceļ	appoint
ieceļ	appoints
situācijās	situations
nosūtīt	send
pēcteči	successors
pēcteči	descendants
klēra	clare
klēra	claire
klasikas	classics
vilka	wolf
niko	niko
java	java
uzbrukumi	attacks
uzbrukumi	assaults
infobox	infobox
attieksme	attitude
attieksme	attitudes
šaušanas	shooting
formās	forms
mediji	media
aprēķina	calculate
olbaltumvielas	protein
olbaltumvielas	proteins
vistālāk	furthest
vistālāk	farthest
child	childs
izgatavotas	fabricated
vēji	winds
pēdējoreiz	last
soli	step
pieprasījums	request
pieprasījums	demand
risks	risk
risks	risks
samazināja	lowered
piemērotas	appropriate
piemērotas	suitable
smilts	sand
pirkstu	finger
ikviens	everybody
ikviens	everyone
ikviens	anyone
piedzīvojumu	adventure
sadaļa	section
publicēt	publish
variācijas	variations
variācijas	variation
felipe	felipe
dažādība	diversity
izveidošana	creation
izveidošana	establishment
aizsargāt	protect
brno	brno
mērķus	goals
express	express
klienta	client
england}}	england}}
rapa	rapa
darbnīcas	workshops
monarhs	monarch
globālā	global
aptaujas	surveys
aptaujas	polls
aptaujas	questionnaires
protestantu	protestant
periodiski	periodic
periodiski	periodically
mali	mali
edijs	eddie
kritika	criticism
kritika	criticisms
iphone	iphone
pieveica	defeated
velta	devote
velta	devotes
aprindās	circles
kāpurs	caterpillar
kāpurs	larva
baloži	pigeons
bērnudārzs	kindergarten
sekundēm	seconds
vēstnieks	ambassador
krustnešiem	crusaders
mednieku	hunter
izdarīts	done
pūces	owls
kritiku	criticism
kritiku	criticisms
baltkrievija	belarus
modernā	modern
pola	pola
eds	eds
eds	ess
eds	ed
cementa	cement
krīt	falling
krīt	falls
krīt	fall
esp	esp
attīstītas	developed
pārbaudīt	verify
pārbaudīt	check
sanāk	meet
sanāk	meets
prototips	prototype
mantojums	inheritance
mantojums	legacy
mantojums	heritage
santa	santa
zīmolu	brands
zīmolu	branding
tukšs	empty
tukšs	blank
rādītāji	indicators
iznīcināta	destroyed
sitienu	punch
sitienu	kick
monarhija	monarchy
kannu	cannes
albāņu	albanian
iesaistīties	engage
kardināls	cardinal
sadarbojās	cooperated
edmontonas	edmonton
svina	lead
tehniskais	technical
zvans	bell
cinka	zinc
piešķiršanu	attribution
apēd	eat
apēd	eats
astoņus	eight
pirkstiem	fingers
skābeklis	oxygen
linda	linda
kuģus	ships
hovards	howard
komiteju	committee
administrators	admin
administrators	administrator
impulsu	momentum
mysql	mysql
stari	rays
normāli	normal
omskas	omsk
staļins	stalin
alžīrijas	algerian
pīļu	duck
eliteprospects	eliteprospects
pussarga	halfback
pielietot	apply
ogas	berries
plūdi	flood
plūdi	flooding
plūdi	floods
kazu	goat
garāks	longer
anatolijas	anatolian
pavēle	orders
identitāti	identity
api	api
api	apis
spektra	spectrum
subtropu	subtropical
vectēvs	grandpa
vectēvs	grandfather
patlaban	currently
kancelejas	stationery
margarita	margarita
bite	bite
bite	bee
labot	edit
mehmeds	mehmed
zeppelin	zeppelin
debesis	heavens
debesis	heaven
debesis	sky
debesis	skies
ģimenēm	families
krāteris	crater
padarīt	make
ieslodzīto	prisoner
ieslodzīto	prisoners
riks	rick
taisni	straight
saistība	relation
saistība	relationship
zaudējums	loss
bēgt	flee
patiešām	indeed
patiešām	truly
patiešām	really
noslēgt	conclude
dace	dace
divstāvu	bunk
poters	potter
molekulā	molecule
gali	gali
gaida	waiting
kokus	trees
borussia	borussia
kristālu	boules
kristālu	crystal
zebras	zebras
plātnes	plates
plātnes	slabs
eiropieši	europeans
sarkanie	reds
ieslodzīts	incarcerated
ieslodzīts	imprisoned
skan	sounds
realizēt	realise
zarnas	guts
zarnas	bowel
zarnas	casings
zarnas	intestine
zarnas	intestines
pārvietoja	relocated
rakstot	writing
produkta	product
ārsti	physicians
ārsti	doctors
lāčplēsis	lāčplēsis
indivīdi	individuals
bruņu	armoured
kāpuru	larval
plāni	plans
valentīna	valentina
valentīna	valentine
dimanta	diamond
ilgāku	longer
debesīm	heaven
reģistrā	register
pieņemti	accepted
kolumbija	columbia
kolumbija	colombia
zemā	low
nometņu	camps
vāja	poor
vāja	weak
radinieks	relative
saīsinājums	abbreviation
vairojas	multiplies
nosūta	sends
mērija	mary
monarhijas	monarchies
motorola	motorola
govs	cow
lokomotīves	locomotives
pēdām	ft
versaļas	versailles
īsteno	implements
#attēls	#image
nozaru	sectoral
attēlojums	depiction
žagatas	magpies
nightwish	nightwish
tuvojoties	approaching
atiet	departing
saglabāšanu	preservation
pretrunā	odds
apakšklase	subclass
palielināts	increased
definīcijas	definitions
santjago	santiago
konvenciju	convention
turciju	turkey
saprata	understood
saprata	realised
renē	rené
renē	renee
renē	rene
izpausmes	manifestations
apsteidza	overtook
pjotrs	pyotr
pozitīvas	positive
albedo	albedo
komunikāciju	communications
palielinot	increasing
sekcijas	autopsy
sekcijas	bays
sekcijas	sections
ievērojot	observing
emīlija	emilia
emīlija	emilie
emīlija	emily
komentāri	comments
capri	capri
lūgšanas	prayer
lūgšanas	prayers
bmw	bmw
juniors	jr
kontinentālā	continental
reforma	reform
vietējais	local
vietējais	native
prefektūras	prefectures
melnkalnes	montenegrin
laboratorija	laboratory
laboratorija	lab
bari	bari
atsauce	reference
tonijs	tony
egle	spruce
nekur	anywhere
nekur	nowhere
titāna	titanium
dāmas	ladies
publicē	publishes
publicē	publish
seguma	pavement
lockheed	lockheed
apmeklēt	visit
līnis	tench
saimniecība	farm
saimniecība	holding
bagāts	rich
lejas	leu
lejas	bottom
sep	sep
efektīvi	efficient
efektīvi	effectively
efektīvi	effective
efektīvi	efficiently
strādnieki	workers
strādnieki	labourers
buru	sailboats
otavas	ottawa
irbes	partridges
apakškārtas	suborder
lidojumi	flights
frekvence	frequency
labāka	better
parādīšanās	emergence
tilti	bridges
darbinieka	employee
tekstus	texts
dzimtenes	homeland
izmainīt	modify
ļevs	lev
paraksta	signature
johannes	johannes
western	western
kopīgs	shared
twitter	twitter
domāšanas	mindset
licence	licence
licence	license
fiziskā	physical
vēlams	preferably
vēlams	desirable
aitu	sheep
paplašināt	extend
paplašināt	enlarge
paplašināt	expand
pietiek	enough
pietiek	suffice
model	model
izdevumus	expenses
fēru	faroes
fēru	faroese
fēru	faroe
plaudis	bream
meklēja	sought
meklēja	searched
piegādes	delivery
piegādes	supplies
piegādes	deliveries
maksāja	paid
iesaistīts	implicated
iesaistīts	involved
leafs	leafs
skābes	acid
skābes	acids
sibīriju	siberia
jebkad	ever
ieviešanas	introductions
garoza	cortex
iniciatīvu	initiative
iekarot	conquer
iekarot	invade
mēle	tongue
espn	espn
redzamais	visible
kurzeme	courland
tuvojas	approaching
sliedes	tracks
sliedes	rail
sliedes	rails
virsotni	vertex
emma	emma
atkārtots	repeated
atkārtots	repeat
vāsa	vasa
mošejas	mosques
beļģu	belgian
ralfs	ralf
ralfs	ralph
savienots	coupled
ein	ein
tiesnešu	judges
izvirzīts	nominated
zvejas	fishing
martina	martina
torps	thorpe
septītā	seventh
algoritms	algorithm
bij	formerly
atbildi	answer
atbildi	reply
izraisot	provoking
precizitāti	accuracy
asinīm	blood
aprēķināt	compute
aprēķināt	calculate
pavasaris	spring
gabalu	chunk
gatavo	finished
visam	everything
bīskapi	reval
bīskapi	bishops
historia	historia
fasādes	facade
fasādes	façade
fasādes	facades
konvencija	convention
aptumsums	eclipse
nolemj	decides
portu	porto
portu	port
frankfurtes	frankfurt
lietojums	usage
lietojums	use
sarežģīta	complex
sarežģīta	complicated
sarežģīta	difficult
dīķi	ponds
dīķi	pond
sabiedriski	sociable
dzīvība	life
celulozes	cellulose
celulozes	pulp
atm	atm
smaga	heavy
smaga	severe
luksemburga	luxembourg
migrē	migrating
kluso	serene
zīmogs	stamp
zīmogs	seal
atdalīts	separated
andra	andra
plaknes	plane
plaknes	planes
tradicionālā	traditional
nedēļa	week
nasdaq	nasdaq
wnba	wnba
verdi	verdi
saistības	liabilities
saistības	obligations
saistības	commitments
saistības	commitment
francūzis	frenchman
klātbūtni	presence
līdzskanis	consonant
upuriem	victims
kolēģijas	colleges
kolēģijas	college
zemgale	zemgale
parādīt	show
ministre	minister
pārveidots	modified
īpatņiem	specimens
osaka	osaka
parametru	parameter
pomerānijas	pomeranian
pomerānijas	pomerania
karsta	karst
darels	durrell
oyj	oyj
norādes	indications
atlaists	fired
atlaists	dismissed
uzturēšanas	maintenance
otrkārt	secondly
sumatras	sumatran
ceļoja	traveled
piešķirti	assigned
piešķirti	allocated
osvalds	oswald
homērs	homer
albert	albert
ejot	walking
dzeltenas	yellow
nafta	oil
nafta	petroleum
nafta	nafta
tūrisms	tourism
saime	flock
saime	family
veci	old
aparatūra	hardware
aparatūra	apparatus
ieteicams	recommended
ieteicams	advised
augstāks	higher
cukurs	sugar
remonta	repair
atklājās	revealed
sīrijā	syria
patērētāju	consumer
matīss	mathis
ģeogrāfiskā	geographic
ģeogrāfiskā	geographical
franko	franco
veimāras	weimar
elites	elite
elites	elites
direktore	director
kanāriju	canary
definē	defined
definē	define
definē	defines
granīta	granite
ezis	hedgehog
kaija	gull
departamentiem	departments
uzskaitīti	listed
augt	grow
gars	spirit
paaudze	generation
guļ	asleep
guļ	sleeps
guļ	sleeping
atbilde	answer
atbilde	reply
atbilde	response
concat	concat
logotips	logo
kuldīga	kuldīga
ziņojums	report
ziņojums	message
jehvi	jõhvi
organisko	organic
venecuēlas	venezuelan
venecuēlas	venezuela
spriegums	voltage
editpage	editpage
sezonai	season
reznors	reznor
pārstāvjus	representatives
cūka	pig
neinere	neuner
milānas	milan
skolotāji	teachers
automātiskā	automatic
bens	ben
ieradies	arrived
csstext	csstext
habsburgs	habsburgs
starojums	irradiance
starojums	radiation
nikola	nikola
nikola	nicole
ola	ola
ola	ol
ola	egg
andrea	andrea
hana	hana
rūdas	ores
ūdrs	otter
raiens	ryan
vērtīgs	precious
vērtīgs	valuable
septītais	seventh
klods	claude
sarakstos	rosters
iebrukums	invasion
stade	stade
negatīvi	negative
apturēt	suspend
apturēt	stop
apturēt	halt
starpkaru	interwar
madridē	madrid
austrumi	east
osis	osis
laulību	marriage
linecolor	linecolor
kareivis	soldier
baptistu	baptist
nīlas	nile
labāku	better
konferenču	conferences
buļļu	bulls
georgijs	georgy
georgijs	georgi
kerija	carrie
ņēma	took
zīlīte	tit
telegrāfa	telegraph
telegrāfa	telegraphic
veicināšana	promotion
kļūda	error
nora	nora
sur	sur
log	log
pagarināts	extended
pagarināts	prolonged
baltica	baltica
doles	doles
gultas	beds
gultas	bed
mazdēls	grandson
grizzlies	grizzlies
karaļi	kings
hamburgā	hamburg
olivers	oliver
atnesa	brought
lieldienu	passover
forums	forum
organismi	organisms
vienpadsmit	eleven
papildina	complements
papildina	complement
sila	sila
ceļotājs	traveler
ceļotājs	traveller
simti	hundred
simti	hundreds
skaidro	explains
zorro	zorro
latgale	latgale
sociālais	social
darīts	done
faila	file
abū	yas
minoritātes	minorities
modas	maud
likteni	destiny
likteni	fate
dieviete	goddess
barošanas	feeding
pārveidot	convert
pārveidot	modify
pārveidot	transform
briesmas	dangers
briesmas	danger
patiesi	truly
barjeru	barrier
aizstāvēt	defend
aizstāvēt	defending
atvaļināts	retired
džeina	jane
džeina	jayne
mēreni	moderately
novērotas	observed
sociālistu	socialist
piecdesmit	fifty
piekļūt	access
atcelta	canceled
atcelta	cancelled
barbara	barbara
bergs	bergs
politiķi	politicians
stratēģijas	strategies
tuvākā	nearest
masačūsetsas	massachusetts
failus	files
prezidentūras	presidencies
prezidentūras	presidency
sēj	sown
neapoles	naples
kaļķu	lime
genādijs	gennady
čaka	chaka
čaka	chuck
uzstādīt	set
uzstādīt	install
uzstādīt	installed
ceļojums	journey
ceļojums	trip
pastāvīga	permanent
tendence	trend
tendence	tendency
nogāzes	slope
nogāzes	slopes
noslēdz	closes
noslēdz	concludes
ienaidnieks	enemy
ērgļi	eagles
pagātnes	past
piedzīvojumi	adventures
piedzīvojumi	adventure
slāņi	layers
atvērt	open
vārdnīcas	vocabularies
vārdnīcas	dictionaries
izdzīvot	survive
gabriels	gabriel
hiēnas	hyenas
uzsver	highlights
uzsver	emphasises
donavas	danube
auss	ear
lcp	lcp
kviešu	wheat
šaura	narrow
ribentropa	ribbentrop
ledu	ice
neolīta	neolithic
izgatavota	manufactured
egejas	aegean
ienākumus	income
jaunākie	newest
lode	bullet
skalas	scales
kvarca	quartz
akts	act
virsas	uppers
galīgi	definitively
galīgi	definitive
kaujinieku	combatants
kaujinieku	militia
pakešu	packets
pakešu	packet
mainījies	changed
iepriekšējie	previous
izdalīt	distribute
ipv	ipv
ipv	ipu
plazmas	plasma
horvātija	croatia
disciplīnās	disciplines
zara	branch
pētījums	trial
pētījums	study
derīgas	fit
nelsons	nelson
rasels	russell
halles	halle
irbe	partridge
manas	my
pakājē	foothills
pretiniekiem	opponents
apliecina	certifies
pierāda	proves
nesaskaņas	disagreement
nesaskaņas	disagreements
nesaskaņas	discord
magnētisko	magnetic
tuvāko	nearest
iziešanas	exit
iziešanas	exiting
krusa	hail
fords	ford
deivs	dave
ķēde	chain
ķēde	circuit
pcall	pcall
silīcija	silicon
vatikāna	vatican
sēta	farmstead
apmaiņa	interchange
apmaiņa	exchange
apmaiņa	exchanges
demonstrācijas	demonstrations
mustela	mustela
niedres	reeds
usb	usb
deviņu	nine
veiksmīgu	successful
england	england
poznaņas	poznań
dievi	gods
turnīri	tournaments
vera	vera
semjuels	samuel
petrovs	petrov
pretinieks	enemy
pretinieks	adversary
pretinieks	opponent
tārtiņš	plover
dziļāk	deeper
nodrošināta	secured
nodrošināta	ensured
nodrošināta	assured
konstruktors	constructor
augšpus	upstream
liktenis	destiny
liktenis	fate
vdk	kgb
nesa	nesa
drīzumā	soon
drīzumā	upcoming
sēklu	seed
gaļa	meat
sietlas	seattle
smiltis	sand
pievienoti	added
pievienoti	attached
pievienoti	enclosed
demokrātijas	democracies
tuvo	passing
tumša	dark
liepu	linden
novēro	observe
dzejā	verse
iesaistās	engaging
papua	papua
varoņi	heroes
hip	hip
formatdate	formatdate
gēnu	gene
romeo	romeo
zobenu	sword
raidītāji	transmitters
sesks	ferret
bērnība	childhood
departamentā	department
amatniecības	craft
amatniecības	crafts
euro	euro
uzņemti	enrol
uzņemti	enrolled
dvēsele	soul
atļauj	allows
atļauj	allow
ericsson	ericsson
atsauca	withdrew
smags	heavy
smags	severe
arnis	arnis
bronza	bronze
papildināts	topped
papildināts	refreshed
artis	artis
