вчера yesterday
бостон boston
описать describe
составы convoys
составы formulations
составы compositions
эстония estonia
пещеры caves
пещеры caverns
посредника mediator
посредника intermediary
посредника facilitator
расходы expenditures
расходы costs
расходы expenditure
расходы expenses
добровольно willingly
добровольно voluntarily
добровольно volunteered
бобби bobby
родина motherland
родина homeland
основа foundation
основа basis
французы french
магазины shops
магазины stores
разработчики developers
жене wife
полномочный plenipotentiary
бит beat
бит bit
бит bits
действовала acted
прямая straight
прямая direct
эксперимент experiment
преломления refraction
деревянные wooden
двенадцать twelve
саксен saxe
урала urals
люк luke
люк luc
люк hatch
единства unity
цифр digits
наполеон napoleon
кале kale
кале calais
договоры contracts
договоры treaties
епископов bishops
нашла found
дальний distant
прикладной applied
бакалавра baccalaureate
лео leo
томск tomsk
тридцать thirty
посещения visiting
посещения visitation
посещения visits
алфавит alphabet
смешанных mixed
меди copper
компоненты components
газов gases
преступление offence
преступление crime
будь be
пленных captives
пользуются enjoy
склонах slopes
палата chamber
популярные popular
популярные trending
реестр register
реестр registry
реестр roster
печени liver
герцеговины herzegovina
инструкции instructions
кпк pda
кпк cpc
кпк ccp
кпк handheld
фан fan
фан fang
вокалист vocalist
вызов challenge
вызов challenging
стена wall
создают pose
лицензия licence
лицензия license
лицензия licensed
маркиз marquess
маркиз marquis
подвиг feat
цик cec
плохой bad
гражданский civil
гражданский civic
гражданский civilian
передано transmitted
пришел came
ост ost
мирного peaceful
михайлов mikhailov
выполнена accomplished
батальонов battalions
датский danish
томов volumes
монте monte
севастополь sevastopol
тени shadows
тени shadow
тени shade
построенные built
построенные constructed
бета beta
артём artem
артём artyom
заслуживает deserved
заслуживает deserve
заслуживает deserves
заслуживает deserving
нор nord
направлены directed
направлены forwarded
построили built
орбиту orbit
региональные regional
теоретической theoretical
существа creatures
кремля kremlin
даны dana
широкие broad
широкие wide
воспитание parenting
воспитание upbringing
обычного customary
заметки notes
обсерватория observatory
стояли stood
получено obtained
получено received
стандарты standards
климата climate
барри barry
ранняя early
стрелки arrows
стрелки arrow
стрелки shooters
особенность feature
эгидой aegis
пауль paul
одежду clothing
одежду clothes
итак so
ветеран veteran
ветеран vet
эффективно efficient
эффективно effective
эффективно efficiently
веру faith
боксёр boxer
охрана security
охрана protection
охрана guard
императрица empress
ломоносова lomonosov
огромные huge
огромные enormous
огромные immense
либретто libretto
франков francs
парламентских parliamentary
оби obi
украину ukraine
нормальный normal
