ve	and
bir	an
bir	one
bu	this
bu	that
da	da
de	say
de	de
ile	with
olarak	as
için	to
için	for
en	en
en	favorites
daha	more
sonra	then
sonra	after
sonra	later
tarafından	by
ilk	first
utc	utc
çok	very
çok	much
yer	venue
yer	place
yer	location
gibi	like
dış	outer
dış	dis
büyük	large
büyük	big
büyük	huge
bağlantılar	connections
bağlantılar	links
bağlantılar	contacts
of	uff
türkiye	turkey
iki	iki
iki	two
ancak	however
center	center
arasında	among
arasında	between
ayrıca	also
ayrıca	furthermore
ayrıca	besides
veya	or
istanbul	istanbul
türk	turk
türk	turkish
diğer	other
yeni	new
un	flour
her	every
aynı	same
kulüp	club
bağlı	attached
bağlı	bound
bağlı	tied
bağlı	depends
bağlı	connected
bağlı	linked
km	km
iyi	good
iyi	fine
te	te
ne	what
ilgili	relevant
ilgili	interested
ilgili	related
son	last
son	end
alan	field
alan	domain
alan	alan
alan	area
dünya	world
dünya	earth
abd	usa
}}	}}
birlikte	together
bulunan	located
eski	old
eski	ex
eski	oldies
and	andean
önemli	highlights
önemli	important
önemli	significant
madde	substance
madde	clause
madde	material
madde	matter
madde	article
sağlık	wellness
sağlık	medical
sağlık	health
sağlık	healthcare
genel	generic
genel	overall
genel	general
mart	mart
mart	march
adı	name
film	films
film	movie
film	film
film	movies
haziran	june
mayıs	may
dosya	files
dosya	file
ocak	jan
ocak	january
ocak	stove
ocak	cooker
yıl	year
dan	dan
kasım	november
kasım	qasim
kasım	nov
avrupa	europe
avrupa	europa
avrupa	european
ama	but
karşı	counter
karşı	against
toplam	lifetime
toplam	sum
toplam	total
toplam	overall
jpg	jpg
ikinci	second
eylül	september
ağustos	august
içinde	inside
içinde	within
içinde	in
temmuz	july
önce	before
önce	first
tüm	whole
den	den
nisan	april
resim	picture
resim	image
resim	painting
resim	drawing
üniversitesi	university
ye	eat
ekim	october
ekim	oct
şehir	town
şehir	city
şehir	urban
ptt	ptt
zaman	time
bazı	some
üzerine	on
üzerine	upon
aralık	december
aralık	dec
aralık	interval
köy	village
yüksek	high
yüksek	higher
birçok	many
şubat	february
şubat	feb
sadece	only
sadece	just
yol	path
yol	route
yol	way
yol	road
fakat	but
grup	band
grup	group
takım	squad
takım	team
kendi	own
şekilde	way
tek	singles
tek	single
bilgi	info
bilgi	information
bilgi	knowledge
kez	times
hakkında	about
latns	latns
longew	longew
latd	latd
osmanlı	ottoman
osmanlı	ottomans
longd	longd
longm	longm
latm	latm
devlet	state
devlet	governmental
devlet	government
ankara	ankara
lats	lats
colspan	colspan
üç	three
tarihi	date
tarihi	historical
tarihi	history
başladı	started
başladı	begun
küçük	small
küçük	lil
küçük	little
müzik	music
gelen	incoming
resmi	formal
resmi	picture
resmi	official
üzerinde	on
kabul	agreed
kabul	acceptance
kabul	accepts
kabul	accept
kabul	accepted
kabul	agree
devam	continue
devam	keep
kupası	cup
fazla	excess
okulu	school
aldı	taken
aldı	took
aldı	received
em	em
em	suck
sahip	dominus
sahip	featuring
sahip	sahib
farklı	different
futbol	soccer
futbol	football
ileti	message
doğru	accurate
doğru	right
doğru	true
doğru	correct
tarım	agricultural
tarım	farming
tarım	agriculture
on	ten
özel	exclusive
özel	private
özel	special
özel	custom
la	la
biri	someone
biri	somebody
biri	one
alanı	field
alanı	area
vikipedi	wikipedia
uzun	tall
uzun	extended
uzun	taller
uzun	long
ki	ki
şarkı	singing
şarkı	songs
şarkı	song
eden	eden
lig	league
orta	middle
orta	medium
orta	mid
orta	center
orta	centre
oyuncu	player
oyuncu	actor
oyuncu	actress
geri	backward
geri	back
geri	backwards
#ccf	#ccf
mesaj	text
mesaj	message
mesaj	messages
elektrik	electricity
elektrik	electrical
elektrik	electric
na	na
ardından	after
merkezi	central
merkezi	center
merkezi	centre
kısa	shorter
kısa	short
kısa	brief
güney	southern
güney	south
almanya	germany
kişi	person
değil	not
kuzey	north
kuzey	northern
ta	ta
çeşitli	varied
çeşitli	variety
çeşitli	miscellaneous
çeşitli	various
açıklama	caption
açıklama	explanation
açıklama	description
team	team
ortaya	reveal
ortaya	uncover
bilgileri	info
fransa	france
ingilizce	english
olmak	being
olmak	becoming
olmak	bein
amerika	america
amerika	usa
el	el
el	hand
başka	else
burada	here
yok	none
yok	nope
yok	no
gol	lake
gol	goal
gol	goals
sağlayan	enabling
sağlayan	providing
ana	main
ana	ana
ana	mother
suyu	juice
özellikle	particularly
özellikle	especially
özellikle	specifically
özellikle	specially
ilköğretim	elementary
birleşik	unified
birleşik	united
ödülü	reward
ödülü	prize
ödülü	award
altyapı	infrastructure
altyapı	substructure
altyapı	infrastructures
yerine	instead
yerine	replace
gün	day
geçen	passing
geçen	elapsed
doğu	east
doğu	oriental
doğu	orient
doğu	eastern
süre	time
süre	duration
sabit	steady
sabit	fixed
sabit	constant
sabit	stable
eğitim	training
eğitim	education
eğitim	educational
eğitim	tutorial
su	water
li	li
sırasında	during
uluslararası	international
olur	happens
yaklaşık	approx
yaklaşık	about
yaklaşık	approximate
yaklaşık	approximately
alman	german
alman	germans
az	little
az	less
az	az
millî	national
kaynak	source
kaynak	resource
kaynak	resources
kaynak	welding
evi	evi
ali	ali
kullanılan	used
paşa	pasha
ligi	league
görev	duty
görev	task
görev	assignment
görev	mission
halk	peoples
halk	public
halk	people
tv	tv
tv	television
onun	his
onun	her
yine	again
ekonomisi	economy
yılı	year
telefon	phone
telefon	telephone
yeniden	again
yeniden	rebuild
içme	drinking
etki	impact
etki	influence
etki	effect
ben	me
ben	ben
sezon	season
john	john
albüm	album
albüm	albums
ingiliz	brit
ingiliz	englishman
ingiliz	british
ingiliz	english
puan	point
puan	rating
puan	score
puan	rated
puan	points
nedeniyle	due
nüfus	populations
nüfus	population
batı	west
batı	western
altında	underneath
altında	under
altında	beneath
tür	genre
tür	type
tür	species
amerikan	american
savaş	battle
savaş	war
savaş	combat
savaş	fight
tekrar	again
tekrar	repeat
tekrar	replay
anadolu	anatolia
anadolu	anadolu
anadolu	anatolian
anadolu	asia
söz	promise
söz	word
rağmen	spite
rağmen	despite
grubu	group
bgcolor	bgcolor
elde	acquired
elde	acquire
elde	achieved
elde	achieve
https	https
ait	belongs
ait	belonging
ait	belong
ait	owned
kadın	woman
kadın	female
kadın	women
türkçe	english
türkçe	turkish
wikipedia	wikipedia
kullanıcı	user
kullanıcı	users
tam	full
tam	complete
tam	tam
birliği	union
kanalizasyon	sewers
kanalizasyon	sewer
kanalizasyon	sewage
kanalizasyon	sewerage
maç	mac
maç	game
maç	match
white	white
http	http
roma	rome
roma	roma
at	horse
at	throw
bölüm	chapter
bölüm	division
bölüm	episode
bölüm	section
bölüm	part
bölüm	department
yazar	writer
yazar	author
sıra	rows
sıra	row
ulusal	national
köyü	village
teknik	technical
teknik	technique
teknik	tech
nüfusu	populations
nüfusu	population
deniz	marine
deniz	deniz
deniz	sea
uygun	fit
uygun	eligible
uygun	convenient
uygun	appropriate
uygun	suitable
bütün	whole
yakın	closer
yakın	near
yakın	close
yakın	nearby
listesi	list
eder	eder
dört	four
iç	interior
iç	sigh
iç	drink
fc	fc
club	club
ingiltere	england
from	from
alt	lower
alt	sub
alt	bottom
alt	beat
alt	alt
