اٹوٹ unbreakable
ابابیل swallow
ابتری disorganization
ابتری ruin
ابتری disorder
ابتری confusion
ابتری deterioration
ابتری mismanagement
ابر cloud
ابرق mica
ابرق talc
اِبہام ambiguity
اِبہام uncertainty
اِبہام thumb
اِبہام confusion
اُبھار persuasion
اُبھار swelling
اُبھار protuberance
اُبھار excitement
اُبھار swell
ابھی now
ابھی immediately
ابھی presently
اپنا personal
اپنا friend
اپنا our
اپنا individual
اپنا exclusive
اپنا partner
اپنا mine
اپنا one's
اپنا my
اپنا kindred
اپنا ours
اپنا relative
اپنا own
اپنا private
اُتارنا reveal
اُتارنا unload
اُتارنا etc.)
اُتارنا exorcise
اُتارنا copy
اُتارنا lower
اُتھلا shallow
اُتھلا superficial
اثنا time
اثنا during
اثنا midst
اثنا period
اُجلا pure
اُجلا luminous
اُجلا white
اُجلا clean
اُجلا shining
اُجلا radiant
اُجلا splendid
اجمود celery
اجنبی alien
اجنبی foreign
اجنبی foreigner
اجنبی unfamiliar
اجنبی stranger
اجنبی unknown
اجنبی new
اجنبی strange
اجیر wage-worker
اجیر servant
اجیر employee
احمق stupid
احمق foolish
احمق idiot
احمق simpleton
احمق fool
احمق blockhead
احمق dunce
احمقانہ idiotic
احمقانہ foolish
اخبار gazette
اخبار events
اخبار newspaper
اخبار traditions
اخبار news
اخذ extraction
اخذ taking
اخذ deduction
اخذ derivation
اِخفا hiding
اِخفا concealment
اخلاقیات ethics
اخلاقیات morality
اخیر last
اخیر consequently
اخیر end
اخیر lastly
اخیر finale
اخیر final
ادب literature
ادب civility
ادب reverence
ادب etiquette
ادب regard
ادب decorum
ادب respect
ادبی literary
اِدّعا claim
اِدّعا pretension
اِدّعا request
ادنیٰ near
ادنیٰ mean
ادنیٰ trivial
ادنیٰ closer
ادنیٰ commoners
ادنیٰ ignoble
ادنیٰ small
ادنیٰ bit
ادنیٰ commonalty
ادنیٰ contemptible
ادنیٰ inferior
ادنیٰ petty
ادنیٰ lowly
ادنیٰ nearer
ادنیٰ little
ادیب author
ادیب writer
ارز reverence
ارز quantity
ارز respect
ارز cost
ارز value
ارز honour
ارزانی cheapness
ارغوانی purple
ارغوانی crimson
ارغوانی violet
اڑواڑ support
اڑواڑ prop
از from
از by
از than
اساسی fundamental
اساسی primary
اساسی basic
اسپ horse
استر priming
استر lining
استر base-coat
استر arrows
استر plaster
استر mule
استر coating
اسیری confinement
اسیری imprisonment
اسیری captivity
اُصطرلاب astrolabe
اصل true
اصل pure
اصل unadulterated
اصل capital
اصل origin
اصل real
اصل standard
اصل actual
اصل event
اصل etc.)
اصل prototype
اصل legitimate
اصل foundation
اصل pedigree
اصل beginning
اصل source
اصل lineage
اصل original
اصل family
اصل root
اصل base
اصلی ancestral
اصلی intrinsic
اصلی elementary
اصلی pure
اصلی true
اصلی real
اصلی innate
اصلی fundamental
اصلی natural
اصلی original
اصلی inherent
اصلی genuine
اصلی essential
اعصابیات neurology
افراتفری anarchy
