反正 anyway
繼承人 heir
繼承人 heirs
斤 catty
導航 navigate
導航 navigator
導航 navigation
導航 navigating
鵰 eagle
退化 degeneration
退化 degraded
退化 degenerative
退化 degenerate
退化 degradation
季度 quarterly
季度 quarter
周日 sunday
向下 down
領銜 headlining
佛羅里達州 florida
尼泊爾 nepal
國會議員 congressman
國會議員 congressmen
雙重 double
雙重 dual
吞 swallow
捕捉 capture
捕捉 capturing
捕捉 captures
冶金 metallurgy
冶金 metallurgical
代數 algebraic
代數 algebra
堀 hori
重申 reaffirmation
重申 reiterate
重申 reaffirming
重申 reiterating
降雨 rainfall
偶爾 occasionally
選項 options
選項 option
貴州 guizhou
部族 clan
部族 tribe
部族 clans
部族 tribes
折扣 discount
折扣 discounted
折扣 discounts
氣氛 atmosphere
糧 grain
反派 villain
反派 villains
召回 recall
頻繁 frequently
頻繁 frequent
保密 confidentiality
保密 confidential
保密 secrecy
姿態 gesture
姿態 posture
渡輪 ferry
渡輪 ferries
財富 riches
財富 fortune
財富 wealth
轉化 transformation
分泌 secretion
浪費 wasted
浪費 waste
蕉 banana
蕉 cheras
性感 sexy
廢物 waste
廢物 wastes
存取 access
存取 accessed
存取 accessing
初級 junior
初級 primary
香蕉 banana
香蕉 bananas
迷宮 labyrinth
迷宮 maze
大乘 mahayana
度量 metric
度量 measure
度量 measurement
州長 governor
省略 omitting
省略 omitted
省略 omit
省略 omission
驚人 amazing
振興 rejuvenation
振興 revitalisation
振興 revitalizing
振興 revival
振興 revitalization
伽利略 galileo
氦 helium
金沙 sands
利比亞 libya
畜牧 livestock
教士 cleric
鯨魚 whales
鯨魚 whale
北斗 beidou
告白 confession
告白 confessions
貪污 embezzlement
處分 disposition
難度 difficulty
不列顛 britain
不列顛 britannia
士林 shilin
攔截 intercept
攔截 interception
海事 marine
海事 maritime
最短 shortest
減輕 mitigating
減輕 lighten
減輕 mitigation
減輕 alleviation
視野 visualize
視野 vision
結尾 end
結尾 ending
胸部 chest
胸部 breast
二郎 jiro
破產 bankrupt
破產 insolvency
破產 bankruptcy
精神病 psychosis
左側 left
業主 owner
業主 owners
業主 landlord
喜好 preferences
喜好 preference
小泉 koizumi
纖維 fibre
纖維 fiber
纖維 fabric
纖維 fibers
海港 harbor
海港 seaports
海港 harbour
海港 seaport
渴望 longing
渴望 eager
渴望 craving
渴望 yearning
矩陣 matrices
矩陣 matrix
攝影師 photographer
攝影師 cameraman
攝影師 photographers
挑選 selection
挑選 pick
會談 talks
聖誕節 christmas
聖誕節 xmas
塔吉克 tajikistan
學歷 education
座標 coordinates
急性 acute
扭 twist
繩 rope
超音速 supersonic
特技 stunt
特技 acrobatics
特技 stunts
睡眠 sleep
效忠 allegiance
建構 constructions
建構 construct
採購 procurement
採購 purchasing
忘記 forget
懲罰 penalty
懲罰 penalties
懲罰 punishment
離職 separations
離職 separation
對比 comparison
對比 comparisons
對比 contrast
圍繞 around
光線 light
信用 credit
信用 credits
重生 reborn
重生 rebirth
裁撤 abolition
裁撤 abolishment
詞典 dictionaries
詞典 dictionary
申請者 applicant
申請者 applicants
自由主義 liberal
自由主義 liberalism
缺點 weakness
缺點 shortcomings
缺點 disadvantages
缺點 flaws
缺點 disadvantage
禮儀 etiquette
禮儀 manners
禮儀 ceremonial
內建 built
土司 toast
農村 countryside
農村 rural
報復 revenge
頂點 apex
頂點 vertex
頂點 capstone
多功能 multifunctional
多功能 multifunction
多功能 multipurpose
途徑 pathways
途徑 pathway
覺醒 awakening
覺醒 awaken
例行 routine
已婚 married
微分 differentiation
微分 differential
油田 oilfield
油田 oilfields
傳教 missionary
塑造 moulding
塑造 shaping
交替 alternating
手臂 arm
雙手 hands
魔神 magic
極度 extremely
極度 extreme
交出 surrender
獲取 get
屠殺 massacre
屠殺 slaughter
大邱 daegu
演習 exercises
演習 exercise
演習 drill
巴拿馬 panama
攝氏 celsius
匹配 matches
